"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,0.0112,-0.0053,-2.0992,0.0071,0.0312,12,1,2,0.0999708457501488,1
"2",1,2,1,0.0112,-0.0053,-2.0992,0.0575,-0.0253,-2.3994,0.0071,0.1262,12,1,2,0.304407177970559,1
"3",2,3,1,0.0575,-0.0253,-2.3994,0.0789,-0.0401,-2.6589,0.0071,0.2076,12,1,2,0.260801169475906,1
"4",3,4,1,0.0789,-0.0401,-2.6589,0.1091,-0.0613,-3.0079,0.0071,0.3172,12,1,2,0.350945123915406,1
"5",4,5,1,0.1091,-0.0613,-3.0079,0.1285,-0.0705,-3.2963,0.0071,0.4074,12,1,2,0.289198132774055,1
"6",5,6,1,0.1285,-0.0705,-3.2963,0.1254,-0.0652,-3.6064,0.0071,0.5042,12,1,2,0.310160780886301,1
"7",6,7,1,0.1254,-0.0652,-3.6064,0.1199,-0.0993,-3.9429,0.0071,0.6098,12,1,2,0.338268103728389,1
"8",7,8,1,0.1199,-0.0993,-3.9429,0.1284,-0.1119,-4.2332,0.0071,0.7005,12,1,2,0.290697609209295,1
"9",8,9,1,0.1284,-0.1119,-4.2332,0.1333,-0.1273,-4.4789,0.0071,0.7774,12,1,2,0.246230907889323,1
"10",9,10,1,0.1333,-0.1273,-4.4789,0.1272,-0.1465,-4.7819,0.0071,0.8722,12,1,2,0.303668980964471,1
"11",10,11,1,0.1272,-0.1465,-4.7819,0.12,-0.1679,-5.0458,0.0071,0.9548,12,1,2,0.264864134982447,1
"12",11,12,1,0.12,-0.1679,-5.0458,0.1157,-0.1986,-5.4117,0.0071,1.0695,12,1,2,0.367210825003839,1
"13",12,13,1,0.1157,-0.1986,-5.4117,0.1129,-0.2183,-5.7579,0.0071,1.1777,12,1,2,0.34677135118115,1
"14",13,14,1,0.1129,-0.2183,-5.7579,0.1032,-0.2313,-6.084,0.0071,1.2796,12,1,2,0.326503139341721,1
"15",14,15,1,0.1032,-0.2313,-6.084,0.092,-0.2472,-6.3838,0.0071,1.3734,12,1,2,0.300430174915903,1
"16",15,16,1,0.092,-0.2472,-6.3838,0.0782,-0.259,-6.64,0.0071,1.4535,12,1,2,0.256842597713074,1
"17",16,17,1,0.0782,-0.259,-6.64,0.0523,-0.2647,-6.9829,0.0071,1.5609,12,1,2,0.343923988695177,1
"18",17,18,1,0.0523,-0.2647,-6.9829,0.0411,-0.2679,-7.2621,0.0071,1.6481,12,1,2,0.279442874305287,1
"19",18,19,1,0.0411,-0.2679,-7.2621,0.0272,-0.2704,-7.5525,0.0071,1.7389,12,1,2,0.290743220041328,1
