"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,0.0206,-0.0078,-2.0975,0.0081,0.0335,12,1,2,0.0999572408582791,1
"2",1,2,1,0.0206,-0.0078,-2.0975,0.1119,-0.0389,-2.518,0.0081,0.1779,12,1,2,0.431419923044822,1
"3",2,3,1,0.1119,-0.0389,-2.518,0.1729,-0.0837,-2.9032,0.0081,0.3093,12,1,2,0.392564746252131,1
"4",3,4,1,0.1729,-0.0837,-2.9032,0.227,-0.1552,-3.3245,0.0081,0.4535,12,1,2,0.430735127427518,1
"5",4,5,1,0.227,-0.1552,-3.3245,0.2564,-0.2285,-3.6842,0.0081,0.5767,12,1,2,0.368268027393093,1
"6",5,6,1,0.2564,-0.2285,-3.6842,0.2941,-0.2951,-4.069,0.0081,0.7081,12,1,2,0.392336450001781,1
"7",6,7,1,0.2941,-0.2951,-4.069,0.3441,-0.3641,-4.4448,0.0081,0.8371,12,1,2,0.385339642393564,1
"8",7,8,1,0.3441,-0.3641,-4.4448,0.3952,-0.4219,-4.8393,0.0081,0.9716,12,1,2,0.40197300904414,1
"9",8,9,1,0.3952,-0.4219,-4.8393,0.4411,-0.4754,-5.1995,0.0081,1.0944,12,1,2,0.367032832318854,1
"10",9,10,1,0.4411,-0.4754,-5.1995,0.4432,-0.4888,-5.6085,0.0081,1.2315,12,1,2,0.409224840399505,1
"11",10,11,1,0.4432,-0.4888,-5.6085,0.4459,-0.4987,-5.9953,0.0081,1.361,12,1,2,0.386936092914579,1
"12",11,12,1,0.4459,-0.4987,-5.9953,0.4682,-0.535,-6.3785,0.0081,1.49,12,1,2,0.385560916069043,1
"13",12,13,1,0.4682,-0.535,-6.3785,0.435,-0.572,-6.8072,0.0081,1.6345,12,1,2,0.431572624247646,1
"14",13,14,1,0.435,-0.572,-6.8072,0.3979,-0.6196,-7.197,0.0081,1.7665,12,1,2,0.394444178560161,1
"15",14,15,1,0.3979,-0.6196,-7.197,0.3663,-0.6488,-7.5736,0.0081,1.8934,12,1,2,0.379049812030028,1
"16",15,16,1,0.3663,-0.6488,-7.5736,0.3343,-0.6738,-7.9617,0.0081,2.024,12,1,2,0.390218669466237,1
"17",16,17,1,0.3343,-0.6738,-7.9617,0.2892,-0.6972,-8.3685,0.0081,2.1612,12,1,2,0.409960742022939,1
"18",17,18,1,0.2892,-0.6972,-8.3685,0.2361,-0.7065,-8.7409,0.0081,2.2872,12,1,2,0.376281623255774,1
"19",18,19,1,0.2361,-0.7065,-8.7409,0.196,-0.6951,-9.1163,0.0081,2.4136,12,1,2,0.377707730924323,1
"20",19,20,1,0.196,-0.6951,-9.1163,0.1526,-0.6792,-9.5265,0.0081,2.5518,12,1,2,0.412795845424829,1
"21",20,21,1,0.1526,-0.6792,-9.5265,0.1115,-0.6348,-9.8756,0.0081,2.6704,12,1,2,0.354304078441104,1
"22",21,22,1,0.1115,-0.6348,-9.8756,0.0721,-0.5832,-10.2887,0.0081,2.8104,12,1,2,0.418170455675673,1
"23",22,23,1,0.0721,-0.5832,-10.2887,0.0571,-0.5338,-10.6591,0.0081,2.9356,12,1,2,0.37398064121021,1
"24",23,24,1,0.0571,-0.5338,-10.6591,0.0304,-0.5218,-11.0562,0.0081,3.0689,12,1,2,0.398177472994141,1
"25",24,25,1,0.0304,-0.5218,-11.0562,-0.0097,-0.5156,-11.4091,0.0081,3.1877,12,1,2,0.355225083573781,1
"26",25,26,1,-0.0097,-0.5156,-11.4091,-0.0481,-0.5128,-11.793,0.0081,3.3169,12,1,2,0.385825880417578,1
"27",26,27,1,-0.0481,-0.5128,-11.793,-0.0966,-0.512,-12.1972,0.0081,3.4532,12,1,2,0.40710014738391,1
"28",0,28,2,0,0,-2,-0.0573,-0.0356,-2.0738,0.006,3.5755,8.4551,4,2,0.0999854489413333,10
"29",27,29,1,-0.0966,-0.512,-12.1972,-0.1417,-0.4882,-12.6323,0.0081,3.5998,12,1,2,0.43807814371411,1
"30",28,30,2,-0.0573,-0.0356,-2.0738,-0.2033,-0.1216,-2.2427,0.006,3.6488,8.4551,4,2,0.239247173442029,10
"31",30,31,2,-0.2033,-0.1216,-2.2427,-0.2033,-0.1216,-2.2427,0.006,3.6488,8.4551,4,2,0,10
"32",29,32,1,-0.1417,-0.4882,-12.6323,-0.1945,-0.4773,-13.0543,0.0081,3.7422,12,1,2,0.425429958982673,1
"33",31,33,2,-0.2033,-0.1216,-2.2427,-0.5275,-0.2642,-2.5957,0.006,3.8019,8.4551,4,2,0.500049397559881,10
"34",32,34,1,-0.1945,-0.4773,-13.0543,-0.241,-0.4662,-13.4367,0.0081,3.8712,12,1,2,0.385376724777198,1
"35",33,35,2,-0.5275,-0.2642,-2.5957,-0.826,-0.3998,-2.9731,0.006,3.9549,8.4551,4,2,0.499920363658053,10
"36",34,36,1,-0.241,-0.4662,-13.4367,-0.2793,-0.4446,-13.8283,0.0081,4.0031,12,1,2,0.394060921685975,1
"37",0,37,3,0,0,-2,0.0686,0.0062,-2.0725,0.0072,4.0735,7.9551,4,2,0.100003249947189,12
"38",35,38,2,-0.826,-0.3998,-2.9731,-1.1058,-0.5,-3.315,0.006,4.0936,8.4551,4,2,0.453016213837871,10
"39",36,39,1,-0.2793,-0.4446,-13.8283,-0.3246,-0.4228,-14.2072,0.0081,4.1311,12,1,2,0.382220538432984,1
"40",37,40,3,0.0686,0.0062,-2.0725,0.3299,0.0224,-2.344,0.0072,4.1814,7.9551,4,2,0.37716359845563,12
"41",39,41,1,-0.3246,-0.4228,-14.2072,-0.3656,-0.3699,-14.5904,0.0081,4.2613,12,1,2,0.389000835474682,1
"42",40,42,3,0.3299,0.0224,-2.344,0.6568,0.0703,-2.7192,0.0072,4.3244,7.9551,4,2,0.499933055518436,12
"43",41,43,1,-0.3656,-0.3699,-14.5904,-0.4096,-0.3111,-14.9564,0.0081,4.3862,12,1,2,0.3732953790231,1
"44",42,44,3,0.6568,0.0703,-2.7192,0.9752,0.1446,-3.0976,0.0072,4.4674,7.9551,4,2,0.500085602672182,12
"45",43,45,1,-0.4096,-0.3111,-14.9564,-0.4675,-0.2425,-15.3823,0.0081,4.5319,12,1,2,0.435257601886515,1
"46",0,46,4,0,0,-2,0.055,-0.0495,-2.0673,0.0051,4.5718,7.4551,4,2,0.100022697424135,10
"47",44,47,3,0.9752,0.1446,-3.0976,1.2304,0.1668,-3.3888,0.0072,4.5783,7.9551,4,2,0.387836718220439,12
"48",45,48,1,-0.4675,-0.2425,-15.3823,-0.5324,-0.1928,-15.8015,0.0081,4.6749,12,1,2,0.427095703560689,1
"49",46,49,4,0.055,-0.0495,-2.0673,0.3533,-0.2559,-2.4113,0.0051,4.7059,7.4551,4,2,0.499919843574948,10
"50",47,50,3,1.2304,0.1668,-3.3888,1.5408,0.169,-3.7807,0.0072,4.7213,7.9551,4,2,0.499938606230805,12
"51",48,51,1,-0.5324,-0.1928,-15.8015,-0.5938,-0.1483,-16.1615,0.0081,4.798,12,1,2,0.367899728186906,1
"52",49,52,4,0.3533,-0.2559,-2.4113,0.6588,-0.4278,-2.7679,0.0051,4.8401,7.4551,4,2,0.500043418114867,10
"53",50,53,3,1.5408,0.169,-3.7807,1.8544,0.1782,-4.1701,0.0072,4.8643,7.9551,4,2,0.500061956161434,12
"54",51,54,1,-0.5938,-0.1483,-16.1615,-0.6834,-0.1273,-16.6094,0.0081,4.9511,12,1,2,0.45725656911629,1
"55",52,55,4,0.6588,-0.4278,-2.7679,0.9693,-0.595,-3.1224,0.0051,4.9742,7.4551,4,2,0.5000363386795,10
"56",53,56,3,1.8544,0.1782,-4.1701,2.1312,0.2339,-4.5509,0.0072,4.9999,7.9551,4,2,0.474056294125498,12
"57",55,57,4,0.9693,-0.595,-3.1224,1.0788,-0.654,-3.2532,0.0051,5.0226,7.4551,4,2,0.180499002767328,10
"58",54,58,1,-0.6834,-0.1273,-16.6094,-0.7331,-0.107,-16.9599,0.0081,5.0698,12,1,2,0.354587690141663,1
"59",0,59,5,0,0,-2,0.0659,0.0058,-2.075,0.0052,5.0745,6.9551,4,2,0.100007249737207,10
"60",57,60,4,1.0788,-0.654,-3.2532,1.2368,-0.7282,-3.4504,0.0051,5.0933,7.4551,4,2,0.263358083225102,10
"61",56,61,3,2.1312,0.2339,-4.5509,2.3883,0.2893,-4.9761,0.0072,5.1429,7.9551,4,2,0.499964608747459,12
"62",58,62,1,-0.7331,-0.107,-16.9599,-0.7781,-0.0788,-17.3693,0.0081,5.208,12,1,2,0.412829989220742,1
"63",59,63,5,0.0659,0.0058,-2.075,0.3952,0.0341,-2.4502,0.0052,5.2226,6.9551,4,2,0.50001441979207,10
"64",60,64,4,1.2368,-0.7282,-3.4504,1.5439,-0.8674,-3.8196,0.0051,5.2274,7.4551,4,2,0.499995689981424,10
"65",30,65,99,-0.0573,-0.0356,-2.0738,-0.1377,0.3454,-2.3873,0.0055,5.2544,8.4245,2,2,0.499907401425504,5
"66",31,66,101,-0.2033,-0.1216,-2.2427,-0.6847,-0.2461,-2.1898,0.0046,5.2622,8.3512,2,2,0.500044618009233,3
"67",61,67,3,2.3883,0.2893,-4.9761,2.6813,0.3497,-5.3767,0.0072,5.2859,7.9551,4,2,0.499977519494627,12
"68",31,68,100,-0.2033,-0.1216,-2.2427,-0.2809,0.3102,-2.0029,0.0055,5.2942,8.3512,2,2,0.499977039472814,5
"69",62,69,1,-0.7781,-0.0788,-17.3693,-0.8172,-0.0842,-17.7434,0.0081,5.3339,12,1,2,0.376176527710065,1
"70",64,70,4,1.5439,-0.8674,-3.8196,1.8533,-1.0065,-4.1869,0.0051,5.3616,7.4551,4,2,0.499986459816663,10
"71",63,71,5,0.3952,0.0341,-2.4502,0.7105,0.0736,-2.8362,0.0052,5.3706,6.9551,4,2,0.499970339120232,10
"72",70,72,4,1.8533,-1.0065,-4.1869,1.8762,-1.0168,-4.2143,0.0051,5.3715,7.4551,4,2,0.0371653064026117,10
"73",67,73,3,2.6813,0.3497,-5.3767,2.9558,0.4133,-5.7898,0.0072,5.4289,7.9551,4,2,0.500046817808093,12
"74",71,74,5,0.7105,0.0736,-2.8362,0.8594,0.0917,-3.0029,0.0052,5.437,6.9551,4,2,0.224249214045446,10
"75",69,75,1,-0.8172,-0.0842,-17.7434,-0.8556,-0.0876,-18.1561,0.0081,5.4726,12,1,2,0.414496574171606,1
"76",72,76,4,1.8762,-1.0168,-4.2143,2.1718,-1.1353,-4.5998,0.0051,5.5057,7.4551,4,2,0.500031858985005,10
"77",73,77,3,2.9558,0.4133,-5.7898,3.2108,0.5196,-6.2066,0.0072,5.5719,7.9551,4,2,0.500046927797782,12
"78",0,78,6,0,0,-2,0.0089,-0.0804,-2.0588,0.0067,5.5762,6.4551,4,2,0.100004049917991,12
"79",74,79,5,0.8594,0.0917,-3.0029,1.2357,0.1602,-3.325,0.0052,5.585,6.9551,4,2,0.50004234820663,10
"80",75,80,1,-0.8556,-0.0876,-18.1561,-0.8835,-0.0831,-18.5865,0.0081,5.617,12,1,2,0.431326813448923,1
"81",76,81,4,2.1718,-1.1353,-4.5998,2.4287,-1.3397,-4.9769,0.0051,5.6398,7.4551,4,2,0.499981379653282,10
"82",77,82,3,3.2108,0.5196,-6.2066,3.469,0.6276,-6.6209,0.0072,5.7149,7.9551,4,2,0.499975729410938,12
"83",78,83,6,0.0089,-0.0804,-2.0588,0.0497,-0.4854,-2.3491,0.0067,5.7324,6.4551,4,2,0.499963728684392,12
"84",79,84,5,1.2357,0.1602,-3.325,1.6028,0.1643,-3.6644,0.0052,5.7331,6.9551,4,2,0.499971579192258,10
"85",80,85,1,-0.8835,-0.0831,-18.5865,-0.9018,-0.0697,-18.9857,0.0081,5.7509,12,1,2,0.399843832014451,1
"86",81,86,4,2.4287,-1.3397,-4.9769,2.6753,-1.54,-5.3629,0.0051,5.774,7.4551,4,2,0.49992764476472,10
"87",38,87,102,-1.1058,-0.5,-3.315,-0.8346,-0.545,-3.7327,0.0049,5.7961,7.9064,2,2,0.500047727722064,3
"88",82,88,3,3.469,0.6276,-6.6209,3.7225,0.7373,-7.0377,0.0072,5.8579,7.9551,4,2,0.500018579654797,12
"89",85,89,1,-0.9018,-0.0697,-18.9857,-0.9194,-0.0566,-19.3713,0.0081,5.8801,12,1,2,0.386223678714809,1
