"","Time","Krs","sam","soil_type","loc"
"1",0.4,9.46935139192024e-06,1,"loam","Palermo, Italy"
"2",0.6,1.1471661915401e-05,1,"loam","Palermo, Italy"
"3",0.8,1.29200736142268e-05,1,"loam","Palermo, Italy"
"4",1,1.34123605099341e-05,1,"loam","Palermo, Italy"
"5",1.2,1.36310192537872e-05,1,"loam","Palermo, Italy"
"6",1.4,1.37175492750699e-05,1,"loam","Palermo, Italy"
"7",1.6,1.37581119500604e-05,1,"loam","Palermo, Italy"
"8",1.8,1.37775332141641e-05,1,"loam","Palermo, Italy"
"9",2,1.37848860888322e-05,1,"loam","Palermo, Italy"
"10",2.2,1.37875383489087e-05,1,"loam","Palermo, Italy"
"11",2.4,1.37891641015927e-05,1,"loam","Palermo, Italy"
"12",2.6,1.37896931949176e-05,1,"loam","Palermo, Italy"
"13",2.8,1.37899942391101e-05,1,"loam","Palermo, Italy"
"14",3,1.37900784303281e-05,1,"loam","Palermo, Italy"
"15",3.2,1.37901260340651e-05,1,"loam","Palermo, Italy"
"16",3.4,1.37901483650586e-05,1,"loam","Palermo, Italy"
"17",3.6,1.37901556689528e-05,1,"loam","Palermo, Italy"
"18",3.8,1.68627616932273e-05,1,"loam","Palermo, Italy"
"19",4,1.72980505725535e-05,1,"loam","Palermo, Italy"
"20",4.2,1.85101699965741e-05,1,"loam","Palermo, Italy"
"21",4.4,1.94992196904483e-05,1,"loam","Palermo, Italy"
"22",4.6,1.97759994946822e-05,1,"loam","Palermo, Italy"
"23",4.8,1.97813001113181e-05,1,"loam","Palermo, Italy"
"24",5,1.97837900523027e-05,1,"loam","Palermo, Italy"
"25",5.2,2.06986877781833e-05,1,"loam","Palermo, Italy"
"26",5.4,2.15988969009558e-05,1,"loam","Palermo, Italy"
"27",5.6,2.15843995124576e-05,1,"loam","Palermo, Italy"
"28",5.8,2.18270863688833e-05,1,"loam","Palermo, Italy"
"29",6,2.16433791818628e-05,1,"loam","Palermo, Italy"
"30",6.2,2.14346118816134e-05,1,"loam","Palermo, Italy"
"31",6.4,2.16610007017362e-05,1,"loam","Palermo, Italy"
"32",6.6,2.21196912371801e-05,1,"loam","Palermo, Italy"
"33",6.8,2.25054299302664e-05,1,"loam","Palermo, Italy"
"34",7,2.23567060597472e-05,1,"loam","Palermo, Italy"
"35",7.2,2.21605669709536e-05,1,"loam","Palermo, Italy"
"36",7.4,2.2079996252689e-05,1,"loam","Palermo, Italy"
"37",7.6,2.22602206527162e-05,1,"loam","Palermo, Italy"
"38",7.8,2.22596654114298e-05,1,"loam","Palermo, Italy"
"39",8,2.22642378910878e-05,1,"loam","Palermo, Italy"
"40",8.2,2.26116606499506e-05,1,"loam","Palermo, Italy"
"41",8.4,2.35023205968698e-05,1,"loam","Palermo, Italy"
"42",8.6,2.64434933531841e-05,1,"loam","Palermo, Italy"
"43",8.8,3.62209644413504e-05,1,"loam","Palermo, Italy"
"44",9,3.89648723333721e-05,1,"loam","Palermo, Italy"
"45",0.4,3.08297401269157e-06,2,"loam","Palermo, Italy"
"46",0.6,3.97988366442969e-06,2,"loam","Palermo, Italy"
"47",0.8,5.02804284767671e-06,2,"loam","Palermo, Italy"
"48",1,6.55526812937607e-06,2,"loam","Palermo, Italy"
"49",1.2,7.48475433236355e-06,2,"loam","Palermo, Italy"
"50",1.4,8.00005670405557e-06,2,"loam","Palermo, Italy"
"51",1.6,8.30165983779368e-06,2,"loam","Palermo, Italy"
"52",1.8,8.93268282884235e-06,2,"loam","Palermo, Italy"
"53",2,9.17342495584873e-06,2,"loam","Palermo, Italy"
"54",2.2,9.35776917270665e-06,2,"loam","Palermo, Italy"
"55",2.4,9.56388890421019e-06,2,"loam","Palermo, Italy"
"56",2.6,1.39472571379714e-05,2,"loam","Palermo, Italy"
"57",2.8,1.40363329987542e-05,2,"loam","Palermo, Italy"
"58",3,1.79375702462009e-05,2,"loam","Palermo, Italy"
"59",3.2,2.1476961193647e-05,2,"loam","Palermo, Italy"
"60",3.4,2.44675925153516e-05,2,"loam","Palermo, Italy"
"61",3.6,3.07643611242079e-05,2,"loam","Palermo, Italy"
"62",3.8,3.29433179754893e-05,2,"loam","Palermo, Italy"
"63",4,3.7978346398037e-05,2,"loam","Palermo, Italy"
"64",4.2,3.94099453498637e-05,2,"loam","Palermo, Italy"
"65",4.4,4.30843528012591e-05,2,"loam","Palermo, Italy"
"66",4.6,4.53471974863222e-05,2,"loam","Palermo, Italy"
"67",4.8,4.69473058511031e-05,2,"loam","Palermo, Italy"
"68",5,4.78311704777107e-05,2,"loam","Palermo, Italy"
"69",5.2,4.88336875309523e-05,2,"loam","Palermo, Italy"
"70",5.4,4.93687534531383e-05,2,"loam","Palermo, Italy"
"71",5.6,4.99868176725473e-05,2,"loam","Palermo, Italy"
"72",5.8,5.0302495209064e-05,2,"loam","Palermo, Italy"
"73",6,5.06881935851113e-05,2,"loam","Palermo, Italy"
