"","id","order_id","order","type","x","y","vol","sam"
"1",1,1,"type_1","kr",0,0.000228901811668553,0.0084948665353068,1
"2",2,1,"type_1","kr",5.22276361858658,0.000228901811668553,0.0084948665353068,1
"3",3,1,"type_1","kr",7.22276361858658,9.95661127833156e-05,0.0084948665353068,1
"4",4,1,"type_1","kr",9.22276361858658,9.95661127833156e-05,0.0084948665353068,1
"5",5,1,"type_1","kr",11.2227636185866,8.4729357204001e-05,0.0084948665353068,1
"6",6,1,"type_1","kr",17.2227636185866,8.4729357204001e-06,0.0084948665353068,1
"7",7,1,"type_1","kx",0,2.54276550535814e-05,0.0084948665353068,1
"8",8,1,"type_1","kx",8.22276361858658,2.54276550535814e-05,0.0084948665353068,1
"9",9,1,"type_1","kx",10.2227636185866,6.80289541493763e-05,0.0084948665353068,1
"10",10,1,"type_1","kx",18.2227636185866,6.80289541493763e-05,0.0084948665353068,1
"11",11,2,"type_2","kr",0,0.000231840877481537,0.00371025830155348,1
"12",12,2,"type_2","kr",9.26635068657525,0.000231840877481537,0.00371025830155348,1
"13",13,2,"type_2","kr",11.2663506865752,0.000100733261094421,0.00371025830155348,1
"14",14,2,"type_2","kr",13.2663506865752,0.000100733261094421,0.00371025830155348,1
"15",15,2,"type_2","kr",15.2663506865752,8.57259976199208e-05,0.00371025830155348,1
"16",16,2,"type_2","kr",21.2663506865753,8.57259976199208e-06,0.00371025830155348,1
"17",17,2,"type_2","kx",0,9.41617004903878e-06,0.00371025830155348,1
"18",18,2,"type_2","kx",12.2663506865752,9.41617004903878e-06,0.00371025830155348,1
"19",19,2,"type_2","kx",14.2663506865752,1.42376784495867e-05,0.00371025830155348,1
"20",20,2,"type_2","kx",22.2663506865753,1.42376784495867e-05,0.00371025830155348,1
"21",21,3,"type_3","kr",0,0.000231224976725507,0.00454291508771832,1
"22",22,3,"type_3","kr",9.26635068657525,0.000231224976725507,0.00454291508771832,1
"23",23,3,"type_3","kr",11.2663506865752,0.000100488403754281,0.00454291508771832,1
"24",24,3,"type_3","kr",13.2663506865752,0.000100488403754281,0.00454291508771832,1
"25",25,3,"type_3","kr",15.2663506865752,8.55168127505456e-05,0.00454291508771832,1
"26",26,3,"type_3","kr",21.2663506865753,8.55168127505456e-06,0.00454291508771832,1
"27",27,3,"type_3","kx",0,1.19484562906918e-05,0.00454291508771832,1
"28",28,3,"type_3","kx",12.2663506865752,1.19484562906918e-05,0.00454291508771832,1
"29",29,3,"type_3","kx",14.2663506865752,1.30693458802886e-05,0.00454291508771832,1
"30",30,3,"type_3","kx",22.2663506865753,1.30693458802886e-05,0.00454291508771832,1
"31",31,4,"type_4","kr",0,0.000230755287168095,0.00523756717335687,1
"32",32,4,"type_4","kr",9.26635068657525,0.000230755287168095,0.00523756717335687,1
"33",33,4,"type_4","kr",11.2663506865752,0.000100301771674031,0.00523756717335687,1
"34",34,4,"type_4","kr",13.2663506865752,0.000100301771674031,0.00523756717335687,1
"35",35,4,"type_4","kr",15.2663506865752,8.53574050247339e-05,0.00523756717335687,1
"36",36,4,"type_4","kr",21.2663506865753,8.53574050247339e-06,0.00523756717335687,1
"37",37,4,"type_4","kx",0,1.41501401312068e-05,0.00523756717335687,1
"38",38,4,"type_4","kx",12.2663506865752,1.41501401312068e-05,0.00523756717335687,1
"39",39,4,"type_4","kx",14.2663506865752,1.41517888645079e-05,0.00523756717335687,1
"40",40,4,"type_4","kx",22.2663506865753,1.41517888645079e-05,0.00523756717335687,1
"41",41,5,"type_5","kr",0,0.000230105528240412,0.00628484697602115,1
"42",42,5,"type_5","kr",9.26635068657525,0.000230105528240412,0.00628484697602115,1
"43",43,5,"type_5","kr",11.2663506865752,0.000100043727796948,0.00628484697602115,1
"44",44,5,"type_5","kr",13.2663506865752,0.000100043727796948,0.00628484697602115,1
"45",45,5,"type_5","kr",15.2663506865752,8.51370524844006e-05,0.00628484697602115,1
"46",46,5,"type_5","kr",21.2663506865753,8.51370524844006e-06,0.00628484697602115,1
"47",47,5,"type_5","kx",0,1.76116217892266e-05,0.00628484697602115,1
"48",48,5,"type_5","kx",12.2663506865752,1.76116217892266e-05,0.00628484697602115,1
"49",49,5,"type_5","kx",14.2663506865752,2.12684169985086e-05,0.00628484697602115,1
"50",50,5,"type_5","kx",22.2663506865753,2.12684169985086e-05,0.00628484697602115,1
"51",51,11,"type_11","kr",0,0.000226941929960729,0.0128679635091038,1
"52",52,11,"type_11","kr",0.0720448704722789,0.000226941929960729,0.0128679635091038,1
"53",53,11,"type_11","kr",2.07204487047228,9.87896471456289e-05,0.0128679635091038,1
"54",54,11,"type_11","kr",4.07204487047228,9.87896471456289e-05,0.0128679635091038,1
"55",55,11,"type_11","kr",6.07204487047228,8.40670116870081e-05,0.0128679635091038,1
"56",56,11,"type_11","kr",12.0720448704723,8.40670116870081e-06,0.0128679635091038,1
"57",57,11,"type_11","kx",0,4.26814231648478e-05,0.0128679635091038,1
"58",58,11,"type_11","kx",3.07204487047228,4.26814231648478e-05,0.0128679635091038,1
"59",59,11,"type_11","kx",5.07204487047228,0.000348856872626046,0.0128679635091038,1
"60",60,11,"type_11","kx",13.0720448704723,0.000348856872626046,0.0128679635091038,1
"61",61,0,"type_0","kr",0,8.4729357204001e-05,NA,1
"62",62,0,"type_0","kr",10,8.4729357204001e-05,NA,1
"63",63,0,"type_0","kx",0,6.80289541493763e-05,NA,1
"64",64,0,"type_0","kx",10,6.80289541493763e-05,NA,1
"65",1,1,"type_1","kr",0,0.000230393156358908,0.00580880481648753,2
"66",2,1,"type_1","kr",7.87522608261104,0.000230393156358908,0.00580880481648753,2
"67",3,1,"type_1","kr",9.87522608261104,0.000100157935897761,0.00580880481648753,2
"68",4,1,"type_1","kr",11.875226082611,0.000100157935897761,0.00580880481648753,2
"69",5,1,"type_1","kr",13.875226082611,8.52345714920316e-05,0.00580880481648753,2
"70",6,1,"type_1","kr",19.875226082611,8.52345714920316e-06,0.00580880481648753,2
"71",7,1,"type_1","kx",0,1.60177080050258e-05,0.00580880481648753,2
"72",8,1,"type_1","kx",10.875226082611,1.60177080050258e-05,0.00580880481648753,2
"73",9,1,"type_1","kx",12.875226082611,1.70832099285866e-05,0.00580880481648753,2
"74",10,1,"type_1","kx",20.875226082611,1.70832099285866e-05,0.00580880481648753,2
"75",11,2,"type_2","kr",0,0.000229066615430063,0.00817128249198705,2
"76",12,2,"type_2","kr",7.05693822677827,0.000229066615430063,0.00817128249198705,2
"77",13,2,"type_2","kr",9.05693822677827,9.96314715103712e-05,0.00817128249198705,2
"78",14,2,"type_2","kr",11.0569382267783,9.96314715103712e-05,0.00817128249198705,2
"79",15,2,"type_2","kr",13.0569382267783,8.47851356311657e-05,0.00817128249198705,2
"80",16,2,"type_2","kr",19.0569382267783,8.47851356311657e-06,0.00817128249198705,2
"81",17,2,"type_2","kx",0,2.4242428308912e-05,0.00817128249198705,2
"82",18,2,"type_2","kx",10.0569382267783,2.4242428308912e-05,0.00817128249198705,2
"83",19,2,"type_2","kx",12.0569382267783,5.79231875976211e-05,0.00817128249198705,2
"84",20,2,"type_2","kx",20.0569382267783,5.79231875976211e-05,0.00817128249198705,2
"85",21,5,"type_5","kr",0,0.000228244864837794,0.00985203456165759,2
"86",22,5,"type_5","kr",7.05693822677827,0.000228244864837794,0.00985203456165759,2
"87",23,5,"type_5","kr",9.05693822677827,9.93056804600262e-05,0.00985203456165759,2
"88",24,5,"type_5","kr",11.0569382267783,9.93056804600262e-05,0.00985203456165759,2
"89",25,5,"type_5","kr",13.0569382267783,8.45071382695776e-05,0.00985203456165759,2
"90",26,5,"type_5","kr",19.0569382267783,8.45071382695776e-06,0.00985203456165759,2
