"","Time","Krs","sam","soil_type","loc"
"3648",8.2,2.81857933368458e-05,91,"loam","Palermo, Italy"
"3649",8.4,2.81663731919179e-05,91,"loam","Palermo, Italy"
"3650",8.6,2.83855518923927e-05,91,"loam","Palermo, Italy"
"3651",8.8,2.92489329504145e-05,91,"loam","Palermo, Italy"
"3652",9,2.94468890703678e-05,91,"loam","Palermo, Italy"
"3653",0.4,1.5312641338168e-05,92,"loam","Palermo, Italy"
"3654",0.6,2.07983770889723e-05,92,"loam","Palermo, Italy"
"3655",0.8,2.46320143512865e-05,92,"loam","Palermo, Italy"
"3656",1,2.61907452866173e-05,92,"loam","Palermo, Italy"
"3657",1.2,2.69347734008641e-05,92,"loam","Palermo, Italy"
"3658",1.4,2.73961034265766e-05,92,"loam","Palermo, Italy"
