"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,-0.0107,0.0162,-2.0981,0.0057,0.0251,12,1,2,0.100002699963551,1
"2",1,2,1,-0.0107,0.0162,-2.0981,-0.0356,0.0516,-2.3172,0.0057,0.0811,12,1,2,0.223333786069193,1
"3",2,3,1,-0.0356,0.0516,-2.3172,-0.0659,0.0756,-2.485,0.0057,0.1244,12,1,2,0.172194454033804,1
"4",3,4,1,-0.0659,0.0756,-2.485,-0.1502,0.1604,-2.8218,0.0057,0.2141,12,1,2,0.357395816987273,1
"5",4,5,1,-0.1502,0.1604,-2.8218,-0.2254,0.2347,-3.0962,0.0057,0.2879,12,1,2,0.294059330748065,1
"6",5,6,1,-0.2254,0.2347,-3.0962,-0.2806,0.2858,-3.2683,0.0057,0.335,12,1,2,0.187820818867345,1
"7",6,7,1,-0.2806,0.2858,-3.2683,-0.3513,0.3522,-3.4946,0.0057,0.3968,12,1,2,0.246209544900274,1
"8",7,8,1,-0.3513,0.3522,-3.4946,-0.4268,0.4145,-3.7917,0.0057,0.4753,12,1,2,0.312809766471573,1
"9",8,9,1,-0.4268,0.4145,-3.7917,-0.494,0.4909,-4.0953,0.0057,0.5557,12,1,2,0.320196439705378,1
"10",9,10,1,-0.494,0.4909,-4.0953,-0.5339,0.5824,-4.3671,0.0057,0.6284,12,1,2,0.289550513727743,1
"11",10,11,1,-0.5339,0.5824,-4.3671,-0.5556,0.6342,-4.5183,0.0057,0.6689,12,1,2,0.161293428260423,1
"12",11,12,1,-0.5556,0.6342,-4.5183,-0.5684,0.6746,-4.6783,0.0057,0.7104,12,1,2,0.165517370689605,1
"13",12,13,1,-0.5684,0.6746,-4.6783,-0.5841,0.7225,-4.8778,0.0057,0.7621,12,1,2,0.20576965276736,1
"14",13,14,1,-0.5841,0.7225,-4.8778,-0.5859,0.7595,-5.0965,0.0057,0.8177,12,1,2,0.221815080641511,1
"15",14,15,1,-0.5859,0.7595,-5.0965,-0.5987,0.7981,-5.2885,0.0057,0.867,12,1,2,0.196259522061988,1
"16",15,16,1,-0.5987,0.7981,-5.2885,-0.6198,0.8582,-5.5851,0.0057,0.9431,12,1,2,0.303362456477396,1
"17",16,17,1,-0.6198,0.8582,-5.5851,-0.6516,0.9069,-5.8609,0.0057,1.0139,12,1,2,0.281866227136208,1
"18",17,18,1,-0.6516,0.9069,-5.8609,-0.6626,0.9263,-5.9661,0.0057,1.0409,12,1,2,0.107537900295663,1
"19",18,19,1,-0.6626,0.9263,-5.9661,-0.6827,0.9492,-6.1885,0.0057,1.0972,12,1,2,0.224477571262699,1
"20",19,20,1,-0.6827,0.9492,-6.1885,-0.7069,0.9754,-6.4556,0.0057,1.1648,12,1,2,0.269470759081574,1
