"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,0.0151,0.0169,-2.0974,0.0063,0.0298,12,1,2,0.10000189998195,1
"2",1,2,1,0.0151,0.0169,-2.0974,0.0794,0.0607,-2.4247,0.0063,0.1301,12,1,2,0.33641970810284,1
"3",2,3,1,0.0794,0.0607,-2.4247,0.1748,0.1116,-2.9128,0.0063,0.2792,12,1,2,0.499933575587797,1
"4",3,4,1,0.1748,0.1116,-2.9128,0.1831,0.1149,-2.9534,0.0063,0.2916,12,1,2,0.041570903285832,1
"5",4,5,1,0.1831,0.1149,-2.9534,0.2063,0.1245,-3.0654,0.0063,0.3258,12,1,2,0.114779789161681,1
"6",5,6,1,0.2063,0.1245,-3.0654,0.2889,0.1611,-3.453,0.0063,0.4445,12,1,2,0.397990050126884,1
"7",6,7,1,0.2889,0.1611,-3.453,0.3351,0.178,-3.711,0.0063,0.5228,12,1,2,0.262648148670422,1
"8",7,8,1,0.3351,0.178,-3.711,0.4025,0.1981,-4.1808,0.0063,0.6645,12,1,2,0.47503558814051,1
"9",8,9,1,0.4025,0.1981,-4.1808,0.4224,0.2495,-4.5997,0.0063,0.7904,12,1,2,0.422510567915171,1
"10",9,10,1,0.4224,0.2495,-4.5997,0.4338,0.2742,-4.8166,0.0063,0.8556,12,1,2,0.21859931381411,1
"11",10,11,1,0.4338,0.2742,-4.8166,0.4471,0.2936,-4.9685,0.0063,0.9015,12,1,2,0.15371031195076,1
"12",11,12,1,0.4471,0.2936,-4.9685,0.465,0.3115,-5.1668,0.0063,0.9611,12,1,2,0.199909254413097,1
"13",12,13,1,0.465,0.3115,-5.1668,0.4933,0.3411,-5.5908,0.0063,1.0881,12,1,2,0.425973062528606,1
"14",13,14,1,0.4933,0.3411,-5.5908,0.5093,0.3333,-5.8291,0.0063,1.1594,12,1,2,0.238963867561605,1
"15",14,15,1,0.5093,0.3333,-5.8291,0.5504,0.3353,-6.2972,0.0063,1.2995,12,1,2,0.469905118082363,1
"16",15,16,1,0.5504,0.3353,-6.2972,0.5682,0.3539,-6.6474,0.0063,1.4042,12,1,2,0.351145041257883,1
"17",16,17,1,0.5682,0.3539,-6.6474,0.59,0.3905,-6.9938,0.0063,1.5082,12,1,2,0.34900968467938,1
"18",17,18,1,0.59,0.3905,-6.9938,0.5926,0.3982,-7.0677,0.0063,1.5304,12,1,2,0.0743455445874197,1
"19",18,19,1,0.5926,0.3982,-7.0677,0.6202,0.4726,-7.458,0.0063,1.6492,12,1,2,0.398285337415276,1
"20",19,20,1,0.6202,0.4726,-7.458,0.6349,0.5158,-7.7192,0.0063,1.7282,12,1,2,0.265156123821419,1
"21",20,21,1,0.6349,0.5158,-7.7192,0.652,0.5699,-8.0431,0.0063,1.8263,12,1,2,0.328831917550594,1
"22",21,22,1,0.652,0.5699,-8.0431,0.6602,0.591,-8.2359,0.0063,1.8842,12,1,2,0.19412441886584,1
"23",22,23,1,0.6602,0.591,-8.2359,0.6683,0.6133,-8.6093,0.0063,1.9957,12,1,2,0.374152990098969,1
"24",23,24,1,0.6683,0.6133,-8.6093,0.6732,0.625,-8.9284,0.0063,2.091,12,1,2,0.319352015807009,1
"25",24,25,1,0.6732,0.625,-8.9284,0.6756,0.6311,-9.0953,0.0063,2.1408,12,1,2,0.167028680171999,1
"26",25,26,1,0.6756,0.6311,-9.0953,0.6457,0.6381,-9.4041,0.0063,2.2333,12,1,2,0.310323138035178,1
"27",26,27,1,0.6457,0.6381,-9.4041,0.6165,0.6438,-9.6848,0.0063,2.3175,12,1,2,0.282272244473309,1
"28",27,28,1,0.6165,0.6438,-9.6848,0.5715,0.6839,-10.1387,0.0063,2.454,12,1,2,0.457884505088347,1
"29",0,29,2,0,0,-2,0.0427,0.0611,-2.0666,0.0056,2.4938,9.5285,4,2,0.09996029211642,10
"30",28,30,1,0.5715,0.6839,-10.1387,0.501,0.7594,-10.6279,0.0063,2.6031,12,1,2,0.499987139834616,1
