"","Time","Krs","sam","soil_type","loc"
"1",0.4,8.56143149164299e-06,1,"loam","Palermo, Italy"
"2",0.6,1.21098934694993e-05,1,"loam","Palermo, Italy"
"3",0.8,1.32983822416227e-05,1,"loam","Palermo, Italy"
"4",1,1.37393295382755e-05,1,"loam","Palermo, Italy"
"5",1.2,1.40572547884182e-05,1,"loam","Palermo, Italy"
"6",1.4,1.41578023945404e-05,1,"loam","Palermo, Italy"
"7",1.6,1.42093980286848e-05,1,"loam","Palermo, Italy"
"8",1.8,1.42322692501088e-05,1,"loam","Palermo, Italy"
"9",2,1.42404974779767e-05,1,"loam","Palermo, Italy"
"10",2.2,1.42440716178693e-05,1,"loam","Palermo, Italy"
"11",2.4,1.42462572391614e-05,1,"loam","Palermo, Italy"
"12",2.6,1.42471019384404e-05,1,"loam","Palermo, Italy"
"13",2.8,1.42473272902271e-05,1,"loam","Palermo, Italy"
"14",3,1.42475114804032e-05,1,"loam","Palermo, Italy"
"15",3.2,1.4247565968834e-05,1,"loam","Palermo, Italy"
"16",3.4,1.42475970308805e-05,1,"loam","Palermo, Italy"
"17",3.6,1.42476068724334e-05,1,"loam","Palermo, Italy"
"18",3.8,1.424761067525e-05,1,"loam","Palermo, Italy"
"19",4,1.42476131091736e-05,1,"loam","Palermo, Italy"
"20",4.2,1.42476141706248e-05,1,"loam","Palermo, Italy"
"21",4.4,1.78676477379355e-05,1,"loam","Palermo, Italy"
"22",4.6,1.87609207202866e-05,1,"loam","Palermo, Italy"
"23",4.8,1.88057293738341e-05,1,"loam","Palermo, Italy"
"24",5,1.96698927388308e-05,1,"loam","Palermo, Italy"
"25",5.2,1.97958974460716e-05,1,"loam","Palermo, Italy"
"26",5.4,1.97628875873496e-05,1,"loam","Palermo, Italy"
"27",5.6,1.95735330422642e-05,1,"loam","Palermo, Italy"
"28",5.8,2.00263206894362e-05,1,"loam","Palermo, Italy"
"29",6,2.12735269454649e-05,1,"loam","Palermo, Italy"
"30",6.2,2.11609785907978e-05,1,"loam","Palermo, Italy"
"31",6.4,2.11109137250577e-05,1,"loam","Palermo, Italy"
"32",6.6,2.09655891494818e-05,1,"loam","Palermo, Italy"
"33",6.8,2.07293082883343e-05,1,"loam","Palermo, Italy"
"34",7,2.04903819231409e-05,1,"loam","Palermo, Italy"
"35",7.2,2.07045360545404e-05,1,"loam","Palermo, Italy"
"36",7.4,2.11950321909298e-05,1,"loam","Palermo, Italy"
"37",7.6,2.18358626443259e-05,1,"loam","Palermo, Italy"
"38",7.8,2.18851206197033e-05,1,"loam","Palermo, Italy"
"39",8,2.19913460020787e-05,1,"loam","Palermo, Italy"
"40",8.2,2.19991303779813e-05,1,"loam","Palermo, Italy"
"41",8.4,2.25340726551462e-05,1,"loam","Palermo, Italy"
"42",8.6,2.54385484307409e-05,1,"loam","Palermo, Italy"
"43",8.8,3.5440055045559e-05,1,"loam","Palermo, Italy"
"44",9,4.11762071637406e-05,1,"loam","Palermo, Italy"
"45",0.4,3.14633281828381e-06,2,"loam","Palermo, Italy"
"46",0.6,4.45989820185336e-06,2,"loam","Palermo, Italy"
"47",0.8,6.44593451337123e-06,2,"loam","Palermo, Italy"
"48",1,8.04296683066612e-06,2,"loam","Palermo, Italy"
"49",1.2,9.16500532084282e-06,2,"loam","Palermo, Italy"
"50",1.4,1.03761235307485e-05,2,"loam","Palermo, Italy"
