"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,0.0106,-0.0233,-2.0967,0.0078,0.0252,12,1,2,0.100030695288996,1
"2",1,2,1,0.0106,-0.0233,-2.0967,0.0558,-0.0932,-2.3445,0.0078,0.0912,12,1,2,0.261407517106911,1
"3",2,3,1,0.0558,-0.0932,-2.3445,0.0971,-0.1597,-2.5751,0.0078,0.1527,12,1,2,0.243524742069466,1
"4",3,4,1,0.0971,-0.1597,-2.5751,0.1248,-0.2734,-2.9082,0.0078,0.2418,12,1,2,0.353058904433807,1
"5",4,5,1,0.1248,-0.2734,-2.9082,0.1328,-0.307,-3.0114,0.0078,0.2693,12,1,2,0.108826467368927,1
"6",5,6,1,0.1328,-0.307,-3.0114,0.1617,-0.4035,-3.2678,0.0078,0.3388,12,1,2,0.275478529108894,1
"7",6,7,1,0.1617,-0.4035,-3.2678,0.1892,-0.4915,-3.5002,0.0078,0.4019,12,1,2,0.250020019198464,1
"8",7,8,1,0.1892,-0.4915,-3.5002,0.1974,-0.5874,-3.7718,0.0078,0.4746,12,1,2,0.288150325351196,1
"9",8,9,1,0.1974,-0.5874,-3.7718,0.1838,-0.6516,-3.9594,0.0078,0.5248,12,1,2,0.198746974819744,1
"10",9,10,1,0.1838,-0.6516,-3.9594,0.1348,-0.7923,-4.3367,0.0078,0.6272,12,1,2,0.405651056944266,1
"11",10,11,1,0.1348,-0.7923,-4.3367,0.1068,-0.8854,-4.5856,0.0078,0.6946,12,1,2,0.267213061058025,1
"12",11,12,1,0.1068,-0.8854,-4.5856,0.0731,-0.988,-4.8568,0.0078,0.7683,12,1,2,0.291910756910395,1
"13",12,13,1,0.0731,-0.988,-4.8568,0.0635,-1.0165,-4.9323,0.0078,0.7888,12,1,2,0.0812690593030335,1
"14",13,14,1,0.0635,-1.0165,-4.9323,0.0222,-1.1304,-5.2381,0.0078,0.8718,12,1,2,0.328926344338669,1
"15",14,15,1,0.0222,-1.1304,-5.2381,0.0151,-1.1513,-5.2981,0.0078,0.888,12,1,2,0.0639313694519361,1
"16",15,16,1,0.0151,-1.1513,-5.2981,-0.0136,-1.2371,-5.5613,0.0078,0.9582,12,1,2,0.278315594245095,1
"17",16,17,1,-0.0136,-1.2371,-5.5613,-0.0446,-1.3325,-5.8931,0.0078,1.0457,12,1,2,0.346631504627031,1
"18",17,18,1,-0.0446,-1.3325,-5.8931,-0.0623,-1.3908,-6.1261,0.0078,1.1065,12,1,2,0.240834341405042,1
"19",18,19,1,-0.0623,-1.3908,-6.1261,-0.0691,-1.4534,-6.3611,0.0078,1.1679,12,1,2,0.243289950470627,1
"20",19,20,1,-0.0691,-1.4534,-6.3611,-0.0758,-1.4898,-6.5143,0.0078,1.2077,12,1,2,0.157607391958626,1
"21",20,21,1,-0.0758,-1.4898,-6.5143,-0.0785,-1.5378,-6.7884,0.0078,1.2779,12,1,2,0.278284207241446,1
"22",21,22,1,-0.0785,-1.5378,-6.7884,-0.0674,-1.5651,-7.0171,0.0078,1.3361,12,1,2,0.230590958192207,1
"23",22,23,1,-0.0674,-1.5651,-7.0171,-0.0764,-1.607,-7.2621,0.0078,1.3989,12,1,2,0.248719942907681,1
"24",23,24,1,-0.0764,-1.607,-7.2621,-0.0551,-1.651,-7.6172,0.0078,1.4894,12,1,2,0.358449020085144,1
"25",24,25,1,-0.0551,-1.651,-7.6172,-0.0509,-1.6576,-7.6704,0.0078,1.503,12,1,2,0.0537721117308958,1
"26",25,26,1,-0.0509,-1.6576,-7.6704,-0.0338,-1.6826,-7.8884,0.0078,1.5585,12,1,2,0.220094093514569,1
"27",26,27,1,-0.0338,-1.6826,-7.8884,-0.0288,-1.7114,-8.2025,0.0078,1.6381,12,1,2,0.31545720787454,1
"28",27,28,1,-0.0288,-1.7114,-8.2025,-0.0288,-1.7277,-8.4172,0.0078,1.6925,12,1,2,0.215317858061052,1
"29",28,29,1,-0.0288,-1.7277,-8.4172,-0.0321,-1.741,-8.5863,0.0078,1.7353,12,1,2,0.169654325025919,1
"30",29,30,1,-0.0321,-1.741,-8.5863,-0.0357,-1.7622,-8.8567,0.0078,1.8038,12,1,2,0.27125368200266,1
"31",30,31,1,-0.0357,-1.7622,-8.8567,-0.0164,-1.7722,-9.3235,0.0078,1.9217,12,1,2,0.467305820635694,1
"32",31,32,1,-0.0164,-1.7722,-9.3235,-0.0121,-1.7739,-9.5574,0.0078,1.9807,12,1,2,0.233945698827741,1
"33",32,33,1,-0.0121,-1.7739,-9.5574,5e-04,-1.7672,-9.7886,0.0078,2.0392,12,1,2,0.23164000086341,1
"34",33,34,1,5e-04,-1.7672,-9.7886,0.0141,-1.756,-10.1222,0.0078,2.1235,12,1,2,0.334064903873483,1
"35",34,35,1,0.0141,-1.756,-10.1222,0.0195,-1.7494,-10.2831,0.0078,2.1642,12,1,2,0.161125820401325,1
"36",0,36,2,0,0,-2,-0.0326,0.0594,-2.0735,0.0065,2.1662,9.8556,4,2,0.0999668445035654,10
