"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,-0.0151,-0.0166,-2.0975,0.0062,0.0433,12,1,2,0.100049087951865,1
"2",1,2,1,-0.0151,-0.0166,-2.0975,-0.0448,-0.0446,-2.2767,0.0062,0.1229,12,1,2,0.183789907231055,1
"3",2,3,1,-0.0448,-0.0446,-2.2767,-0.0718,-0.0789,-2.5211,0.0062,0.2304,12,1,2,0.248267698261373,1
"4",3,4,1,-0.0718,-0.0789,-2.5211,-0.1163,-0.1393,-2.9547,0.0062,0.421,12,1,2,0.440042463860023,1
"5",4,5,1,-0.1163,-0.1393,-2.9547,-0.1248,-0.1498,-3.0369,0.0062,0.4571,12,1,2,0.0833027010366413,1
"6",5,6,1,-0.1248,-0.1498,-3.0369,-0.1984,-0.1712,-3.5309,0.0062,0.6736,12,1,2,0.499910912063339,1
"7",6,7,1,-0.1984,-0.1712,-3.5309,-0.2302,-0.1872,-3.7737,0.0062,0.7799,12,1,2,0.245395761984595,1
"8",7,8,1,-0.2302,-0.1872,-3.7737,-0.293,-0.2189,-4.2687,0.0062,0.9964,12,1,2,0.499973729309851,1
"9",8,9,1,-0.293,-0.2189,-4.2687,-0.3739,-0.2256,-4.7621,0.0062,1.213,12,1,2,0.500033258893846,1
"10",9,10,1,-0.3739,-0.2256,-4.7621,-0.4168,-0.2253,-4.9654,0.0062,1.303,12,1,2,0.207777260545999,1
"11",10,11,1,-0.4168,-0.2253,-4.9654,-0.4526,-0.2278,-5.1576,0.0062,1.3876,12,1,2,0.195521686776685,1
"12",11,12,1,-0.4526,-0.2278,-5.1576,-0.4952,-0.2321,-5.3902,0.0062,1.4901,12,1,2,0.236507949126451,1
"13",12,13,1,-0.4952,-0.2321,-5.3902,-0.5779,-0.2001,-5.8823,0.0062,1.7066,12,1,2,0.500025699339544,1
"14",13,14,1,-0.5779,-0.2001,-5.8823,-0.6138,-0.1584,-6.3094,0.0062,1.8931,12,1,2,0.430629899101305,1
"15",14,15,1,-0.6138,-0.1584,-6.3094,-0.6733,-0.1056,-6.8031,0.0062,2.1097,12,1,2,0.500067775406494,1
"16",15,16,1,-0.6733,-0.1056,-6.8031,-0.6928,-0.0879,-7.02,0.0062,2.2043,12,1,2,0.218492906063332,1
"17",16,17,1,-0.6928,-0.0879,-7.02,-0.7524,-0.0526,-7.5152,0.0062,2.4209,12,1,2,0.500021289546756,1
"18",17,18,1,-0.7524,-0.0526,-7.5152,-0.8163,0.0308,-8.004,0.0062,2.6374,12,1,2,0.499964208718984,1
"19",18,19,1,-0.8163,0.0308,-8.004,-0.87,0.0701,-8.2882,0.0062,2.7638,12,1,2,0.291886656084173,1
"20",19,20,1,-0.87,0.0701,-8.2882,-0.9605,0.1219,-8.7772,0.0062,2.9803,12,1,2,0.49999448996964,1
"21",20,21,1,-0.9605,0.1219,-8.7772,-1.0027,0.1469,-9.0073,0.0062,3.0822,12,1,2,0.235269738810583,1
"22",21,22,1,-1.0027,0.1469,-9.0073,-1.0779,0.1912,-9.4996,0.0062,3.2988,12,1,2,0.499976819462661,1
"23",22,23,1,-1.0779,0.1912,-9.4996,-1.1108,0.2129,-9.6817,0.0062,3.3794,12,1,2,0.186316156035917,1
"24",23,24,1,-1.1108,0.2129,-9.6817,-1.2292,0.2642,-10.1647,0.0062,3.596,12,1,2,0.49993924630899,1
"25",24,25,1,-1.2292,0.2642,-10.1647,-1.3162,0.2737,-10.4783,0.0062,3.737,12,1,2,0.325582877313904,1
"26",25,26,1,-1.3162,0.2737,-10.4783,-1.4358,0.289,-10.9635,0.0062,3.9535,12,1,2,0.499957288175699,1
"27",26,27,1,-1.4358,0.289,-10.9635,-1.4799,0.2905,-11.1672,0.0062,4.0438,12,1,2,0.208424446742698,1
"28",27,28,1,-1.4799,0.2905,-11.1672,-1.6235,0.3229,-11.645,0.0062,4.2603,12,1,2,0.49996355867203,1
"29",28,29,1,-1.6235,0.3229,-11.645,-1.7652,0.3564,-12.1234,0.0062,4.4769,12,1,2,0.500067695417331,1
"30",29,30,1,-1.7652,0.3564,-12.1234,-1.7822,0.3606,-12.1794,0.0062,4.5023,12,1,2,0.0586740146913427,1
"31",30,31,1,-1.7822,0.3606,-12.1794,-1.908,0.3638,-12.6633,0.0062,4.7188,12,1,2,0.499995089975892,1
"32",31,32,1,-1.908,0.3638,-12.6633,-2.045,0.3578,-13.1442,0.0062,4.9354,12,1,2,0.500069805127244,1
"33",32,33,1,-2.045,0.3578,-13.1442,-2.0833,0.3544,-13.2895,0.0062,5.0005,12,1,2,0.150301496998534,1
"34",33,34,1,-2.0833,0.3544,-13.2895,-2.1688,0.3656,-13.6459,0.0062,5.1593,12,1,2,0.366683310228321,1
"35",34,35,1,-2.1688,0.3656,-13.6459,-2.2657,0.3301,-14.1351,0.0062,5.3758,12,1,2,0.499966498877675,1
"36",35,36,1,-2.2657,0.3301,-14.1351,-2.2704,0.3283,-14.1588,0.0062,5.3863,12,1,2,0.0242284956198274,1
"37",36,37,1,-2.2704,0.3283,-14.1588,-2.3781,0.2622,-14.6426,0.0062,5.6029,12,1,2,0.500030939042776,1
"38",37,38,1,-2.3781,0.2622,-14.6426,-2.4607,0.1942,-15.131,0.0062,5.8194,12,1,2,0.499981319651045,1
"39",38,39,1,-2.4607,0.1942,-15.131,-2.5145,0.1815,-15.4981,0.0062,5.9802,12,1,2,0.371238656392354,1
"40",39,40,1,-2.5145,0.1815,-15.4981,-2.588,0.1447,-15.9913,0.0062,6.1968,12,1,2,0.500002729992547,1
"41",40,41,1,-2.588,0.1447,-15.9913,-2.6378,0.1224,-16.3508,0.0062,6.3542,12,1,2,0.363617353821293,1
"42",41,42,1,-2.6378,0.1224,-16.3508,-2.6466,0.0419,-16.8442,0.0062,6.5708,12,1,2,0.500001249998439,1
"43",42,43,1,-2.6466,0.0419,-16.8442,-2.6506,-0.009,-17.1503,0.0062,6.7052,12,1,2,0.31032889005054,1
"44",0,44,2,0,0,-2,0.0379,0.0511,-2.0772,0.0053,6.8082,5.2292,4,2,0.100037293046143,12
"45",43,45,1,-2.6506,-0.009,-17.1503,-2.6658,-0.1149,-17.6387,0.0062,6.9217,12,1,2,0.499980409616216,1
"46",44,46,2,0.0379,0.0511,-2.0772,0.2229,0.2643,-2.4899,0.0053,6.9955,5.2292,4,2,0.500000529999719,12
"47",45,47,1,-2.6658,-0.1149,-17.6387,-2.679,-0.2082,-18.072,0.0062,7.1138,12,1,2,0.443427581460602,1
"48",46,48,2,0.2229,0.2643,-2.4899,0.3876,0.4854,-2.907,0.0053,7.1828,5.2292,4,2,0.499983709734627,12
"49",48,49,2,0.3876,0.4854,-2.907,0.414,0.5205,-2.9737,0.0053,7.2128,5.2292,4,2,0.079861505119801,12
"50",0,50,3,0,0,-2,-0.024,-0.069,-2.0683,0.0049,7.3063,4.7292,4,2,0.10000944955353,10
"51",47,51,1,-2.679,-0.2082,-18.072,-2.7004,-0.3026,-18.5626,0.0062,7.3303,12,1,2,0.500057676673402,1
"52",50,52,3,-0.024,-0.069,-2.0683,-0.0418,-0.118,-2.1198,0.0049,7.3324,4.7292,4,2,0.0732808979202632,10
"53",49,53,2,0.414,0.5205,-2.9737,0.5716,0.7219,-3.3924,0.0053,7.3966,5.2292,4,2,0.490621452853419,12
"54",51,54,1,-2.7004,-0.3026,-18.5626,-2.6908,-0.3497,-18.8677,0.0062,7.4641,12,1,2,0.308863367850575,1
"55",52,55,3,-0.0418,-0.118,-2.1198,-0.1663,-0.4535,-2.469,0.0049,7.5102,4.7292,4,2,0.5000011399987,10
"56",55,56,3,-0.1663,-0.4535,-2.469,-0.1921,-0.5415,-2.5608,0.0049,7.5564,4.7292,4,2,0.129757003664542,10
"57",53,57,2,0.5716,0.7219,-3.3924,0.7145,0.9299,-3.8241,0.0053,7.5839,5.2292,4,2,0.50004929756975,12
"58",54,58,1,-2.6908,-0.3497,-18.8677,-2.6895,-0.4007,-19.2851,0.0062,7.6462,12,1,2,0.420506183069881,1
"59",57,59,2,0.7145,0.9299,-3.8241,0.8121,1.0591,-4.0941,0.0053,7.7018,5.2292,4,2,0.314830748180669,12
"60",56,60,3,-0.1921,-0.5415,-2.5608,-0.2684,-0.8666,-2.933,0.0049,7.7342,4.7292,4,2,0.500044538016365,10
"61",58,61,1,-2.6895,-0.4007,-19.2851,-2.7159,-0.4688,-19.7798,0.0062,7.8628,12,1,2,0.500062656074218,1
"62",59,62,2,0.8121,1.0591,-4.0941,0.9203,1.3097,-4.513,0.0053,7.8892,5.2292,4,2,0.499984809769257,12
"63",60,63,3,-0.2684,-0.8666,-2.933,-0.2818,-1.179,-3.3231,0.0049,7.9121,4.7292,4,2,0.499951327631001,10
"64",61,64,1,-2.7159,-0.4688,-19.7798,-2.7242,-0.4883,-19.9092,0.0062,7.9196,12,1,2,0.131123987126686,1
"65",64,65,1,-2.7242,-0.4883,-19.9092,-2.7242,-0.4883,-19.9092,0.0062,7.9196,12,1,2,0,1
"66",62,66,2,0.9203,1.3097,-4.513,0.9897,1.5175,-4.9625,0.0053,8.0765,5.2292,4,2,0.500047447748712,12
"67",63,67,3,-0.2818,-1.179,-3.3231,-0.2957,-1.4922,-3.7126,0.0049,8.0899,4.7292,4,2,0.49999769999471,10
"68",65,68,1,-2.7242,-0.4883,-19.9092,-2.7445,-0.5348,-20.4067,0.0062,8.1361,12,1,2,0.500080583506301,1
"69",67,69,3,-0.2957,-1.4922,-3.7126,-0.2981,-1.5895,-3.8324,0.0049,8.1448,4.7292,4,2,0.154353781942652,10
"70",66,70,2,0.9897,1.5175,-4.9625,1.0677,1.7237,-5.4113,0.0053,8.2638,5.2292,4,2,0.500023879429772,12
"71",68,71,1,-2.7445,-0.5348,-20.4067,-2.7558,-0.5816,-20.9043,0.0062,8.3527,12,1,2,0.499923684175893,1
"72",70,72,2,1.0677,1.7237,-5.4113,1.1167,1.8541,-5.6907,0.0053,8.3808,5.2292,4,2,0.312201089043584,12
"73",71,73,1,-2.7558,-0.5816,-20.9043,-2.7297,-0.6373,-21.3127,0.0062,8.5315,12,1,2,0.413006367989648,1
"74",73,74,1,-2.7297,-0.6373,-21.3127,-2.7083,-0.6859,-21.6953,0.0062,8.6988,12,1,2,0.386267627429481,1
"75",74,75,1,-2.7083,-0.6859,-21.6953,-2.6791,-0.7326,-22.1922,0.0062,8.9153,12,1,2,0.499943136766573,1
