"","id","order_id","order","type","x","y","vol","sam"
"2142",18,2,"type_2","kx",8.09295018304946,9.13590576830766e-06,0.00361554231503722,32
"2143",19,2,"type_2","kx",10.0929501830495,1.44760237234844e-05,0.00361554231503722,32
"2144",20,2,"type_2","kx",18.0929501830495,1.44760237234844e-05,0.00361554231503722,32
"2145",21,3,"type_3","kr",0,0.000231432709147912,0.00425220703206853,32
"2146",22,3,"type_3","kr",5.09295018304946,0.000231432709147912,0.00425220703206853,32
"2147",23,3,"type_3","kr",7.09295018304946,0.000100570973572046,0.00425220703206853,32
"2148",24,3,"type_3","kr",9.09295018304946,0.000100570973572046,0.00425220703206853,32
"2149",25,3,"type_3","kr",11.0929501830495,8.55873475298501e-05,0.00425220703206853,32
"2150",26,3,"type_3","kr",17.0929501830495,8.55873475298501e-06,0.00425220703206853,32
"2151",27,3,"type_3","kx",0,1.10506968626697e-05,0.00425220703206853,32
"2152",28,3,"type_3","kx",8.09295018304946,1.10506968626697e-05,0.00425220703206853,32
"2153",29,3,"type_3","kx",10.0929501830495,1.32407967484818e-05,0.00425220703206853,32
"2154",30,3,"type_3","kx",18.0929501830495,1.32407967484818e-05,0.00425220703206853,32
"2155",31,4,"type_4","kr",0,0.000230908625455375,0.00500506729490596,32
"2156",32,4,"type_4","kr",5.09295018304946,0.000230908625455375,0.00500506729490596,32
"2157",33,4,"type_4","kr",7.09295018304946,0.000100362691667059,0.00500506729490596,32
"2158",34,4,"type_4","kr",9.09295018304946,0.000100362691667059,0.00500506729490596,32
"2159",35,4,"type_4","kr",11.0929501830495,8.54094351968912e-05,0.00500506729490596,32
"2160",36,4,"type_4","kr",17.0929501830495,8.54094351968912e-06,0.00500506729490596,32
"2161",37,4,"type_4","kx",0,1.34045710560915e-05,0.00500506729490596,32
"2162",38,4,"type_4","kx",8.09295018304946,1.34045710560915e-05,0.00500506729490596,32
"2163",39,4,"type_4","kx",10.0929501830495,1.35209253922951e-05,0.00500506729490596,32
"2164",40,4,"type_4","kx",18.0929501830495,1.35209253922951e-05,0.00500506729490596,32
"2165",41,5,"type_5","kr",0,0.000230255997500272,0.00603333536386456,32
"2166",42,5,"type_5","kr",5.09295018304946,0.000230255997500272,0.00603333536386456,32
"2167",43,5,"type_5","kr",7.09295018304946,0.000100103470472745,0.00603333536386456,32
"2168",44,5,"type_5","kr",9.09295018304946,0.000100103470472745,0.00603333536386456,32
"2169",45,5,"type_5","kr",11.0929501830495,8.51880635980856e-05,0.00603333536386456,32
"2170",46,5,"type_5","kr",17.0929501830495,8.51880635980856e-06,0.00603333536386456,32
"2171",47,5,"type_5","kx",0,1.67653216007297e-05,0.00603333536386456,32
"2172",48,5,"type_5","kx",8.09295018304946,1.67653216007297e-05,0.00603333536386456,32
"2173",49,5,"type_5","kx",10.0929501830495,1.88433576163986e-05,0.00603333536386456,32
"2174",50,5,"type_5","kx",18.0929501830495,1.88433576163986e-05,0.00603333536386456,32
"2175",51,0,"type_0","kr",0,8.43414158053352e-05,NA,32
"2176",52,0,"type_0","kr",10,8.43414158053352e-05,NA,32
"2177",53,0,"type_0","kx",0,0.000188731042362232,NA,32
"2178",54,0,"type_0","kx",10,0.000188731042362232,NA,32
"2179",1,1,"type_1","kr",0,0.000227103993398004,0.0124689812420979,33
"2180",2,1,"type_1","kr",4.74548086769826,0.000227103993398004,0.0124689812420979,33
"2181",3,1,"type_1","kr",6.74548086769826,9.88537978833544e-05,0.0124689812420979,33
"2182",4,1,"type_1","kr",8.74548086769826,9.88537978833544e-05,0.0124689812420979,33
"2183",5,1,"type_1","kr",10.7454808676983,8.41217121571823e-05,0.0124689812420979,33
"2184",6,1,"type_1","kr",16.7454808676983,8.41217121571823e-06,0.0124689812420979,33
"2185",7,1,"type_1","kx",0,4.10173328233338e-05,0.0124689812420979,33
"2186",8,1,"type_1","kx",7.74548086769826,4.10173328233338e-05,0.0124689812420979,33
"2187",9,1,"type_1","kx",9.74548086769826,0.000310626569660376,0.0124689812420979,33
"2188",10,1,"type_1","kx",17.7454808676983,0.000310626569660376,0.0124689812420979,33
"2189",11,2,"type_2","kr",0,0.000231216087091113,0.00455558078131047,33
"2190",12,2,"type_2","kr",6.44214597628048,0.000231216087091113,0.00455558078131047,33
"2191",13,2,"type_2","kr",8.44214597628048,0.000100484870656589,0.00455558078131047,33
"2192",14,2,"type_2","kr",10.4421459762805,0.000100484870656589,0.00455558078131047,33
