"","z","type","suf","id","rep"
"13870",-24,2,9.55955357702009e-05,73,2
"13871",-23,1,7.96258645063267e-05,73,2
"13872",-23,2,0.00014417354051301,73,2
"13873",-22,1,9.18519694030874e-05,73,2
"13874",-22,2,0.000413349405401231,73,2
"13875",-21,1,0.000202880486567172,73,2
"13876",-21,2,0.000296670811917129,73,2
"13877",-20,1,0.000205380210019566,73,2
"13878",-20,2,0.000538105673905413,73,2
"13879",-19,1,0.000423572555939791,73,2
"13880",-19,2,0.002215024721088,73,2
"13881",-18,1,0.00076998008531872,73,2
"13882",-18,2,0.000925234519681835,73,2
"13883",-17,1,0.000995616023304152,73,2
"13884",-17,2,0.0111439199228712,73,2
"13885",-16,1,0.00268820437591689,73,2
"13886",-16,2,0.00704053582616524,73,2
"13887",-15,1,0.00367069860997665,73,2
"13888",-15,2,0.0149720400560552,73,2
"13889",-14,1,0.00476797684226634,73,2
"13890",-14,2,0.0364173596923645,73,2
"13891",-13,1,0.00521397791189089,73,2
"13892",-13,2,0.0398473790015478,73,2
"13893",-12,1,0.00810931483986331,73,2
"13894",-12,2,0.0208271030400203,73,2
"13895",-11,1,0.00497634557509447,73,2
"13896",-11,2,0.0445980940884462,73,2
"13897",-10,1,0.0103299007471794,73,2
"13898",-10,2,0.029967626436312,73,2
"13899",-9,1,0.00829761758563175,73,2
"13900",-9,2,0.062085021226373,73,2
"13901",-8,1,0.014451782663514,73,2
"13902",-8,2,0.0910308552143108,73,2
"13903",-7,1,0.0101439751602045,73,2
"13904",-7,2,0.0371862277738434,73,2
"13905",-6,1,0.0126604488015329,73,2
"13906",-6,2,0.0304654366233169,73,2
"13907",-5,1,0.016244295556331,73,2
"13908",-5,2,0.165492943686059,73,2
"13909",-4,1,0.0176930606269867,73,2
"13910",-4,2,0.107498992664055,73,2
"13911",-3,1,0.0133696494924683,73,2
"13912",-3,2,0.134031901998312,73,2
"13913",-2,1,0.0109129728666648,73,2
"13914",-2,2,0.0161912807288613,73,2
"13915",-47,1,7.5562770453087e-06,73,3
"13916",-46,1,2.02674625687303e-05,73,3
"13917",-45,1,2.80759700833922e-05,73,3
"13918",-44,1,3.06231207674565e-05,73,3
"13919",-43,1,3.22461853045976e-05,73,3
"13920",-42,1,5.30528380397931e-05,73,3
"13921",-41,1,4.50776018348098e-05,73,3
"13922",-40,1,9.30803953490631e-05,73,3
"13923",-39,1,0.000115878943199837,73,3
"13924",-38,1,0.000155150297899204,73,3
"13925",-37,1,0.000179112507698124,73,3
"13926",-36,1,0.000238842964112762,73,3
"13927",-35,1,0.000392311708689881,73,3
"13928",-34,1,0.000236768342896683,73,3
"13929",-33,1,0.000582305339598973,73,3
"13930",-32,1,0.000871397698351609,73,3
"13931",-31,1,0.00105155118511097,73,3
"13932",-30,1,0.00161117479494025,73,3
"13933",-29,1,0.00143382905082469,73,3
"13934",-28,1,0.00229070134114776,73,3
"13935",-27,1,0.00229435519611764,73,3
"13936",-26,1,0.00363053893212861,73,3
"13937",-25,1,0.00325617470817425,73,3
"13938",-24,1,0.00505238233422228,73,3
"13939",-23,1,0.00605951987710656,73,3
"13940",-22,1,0.00640281685882235,73,3
"13941",-21,1,0.00514033799111563,73,3
"13942",-20,1,0.0101482123704545,73,3
"13943",-19,1,0.00961781620087043,73,3
"13944",-18,1,0.00858485289889536,73,3
"13945",-17,1,0.0173374522030923,73,3
"13946",-16,1,0.0189248765198703,73,3
"13947",-15,1,0.0209136306508757,73,3
"13948",-14,1,0.0275528662262228,73,3
"13949",-13,1,0.0254200492184206,73,3
"13950",-12,1,0.0160908119748987,73,3
"13951",-11,1,0.0386903576395681,73,3
"13952",-10,1,0.0210138446801354,73,3
"13953",-10,2,0.026174552742493,73,3
"13954",-9,1,0.0305176478341317,73,3
"13955",-9,2,0.073930965190443,73,3
"13956",-8,1,0.0258820708130269,73,3
