"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,-0.0181,-0.0066,-2.0981,0.0062,0.0194,12,1,2,0.0999738965930608,1
"2",1,2,1,-0.0181,-0.0066,-2.0981,-0.0385,-0.018,-2.2267,0.0062,0.0447,12,1,2,0.130706082490449,1
"3",2,3,1,-0.0385,-0.018,-2.2267,-0.0873,-0.0464,-2.5404,0.0062,0.1064,12,1,2,0.318740788102182,1
"4",3,4,1,-0.0873,-0.0464,-2.5404,-0.1128,-0.0702,-2.7814,0.0062,0.1536,12,1,2,0.243511170175005,1
"5",4,5,1,-0.1128,-0.0702,-2.7814,-0.1337,-0.0898,-2.9796,0.0062,0.1923,12,1,2,0.200260355537485,1
"6",5,6,1,-0.1337,-0.0898,-2.9796,-0.1522,-0.1037,-3.1031,0.0062,0.2167,12,1,2,0.125649154394289,1
"7",6,7,1,-0.1522,-0.1037,-3.1031,-0.1851,-0.1289,-3.3072,0.0062,0.257,12,1,2,0.208264879420415,1
"8",7,8,1,-0.1851,-0.1289,-3.3072,-0.2193,-0.1586,-3.5233,0.0062,0.2998,12,1,2,0.220796150328759,1
"9",8,9,1,-0.2193,-0.1586,-3.5233,-0.2395,-0.1722,-3.6163,0.0062,0.3184,12,1,2,0.0961353212924365,1
"10",9,10,1,-0.2395,-0.1722,-3.6163,-0.2714,-0.1948,-3.7673,0.0062,0.3486,12,1,2,0.155978748552487,1
"11",10,11,1,-0.2714,-0.1948,-3.7673,-0.3005,-0.211,-3.8819,0.0062,0.3717,12,1,2,0.119341568617142,1
"12",11,12,1,-0.3005,-0.211,-3.8819,-0.3239,-0.2223,-3.9795,0.0062,0.3913,12,1,2,0.101000049504938,1
"13",12,13,1,-0.3239,-0.2223,-3.9795,-0.3425,-0.2309,-4.0628,0.0062,0.4079,12,1,2,0.0857835065732339,1
"14",13,14,1,-0.3425,-0.2309,-4.0628,-0.3457,-0.2323,-4.0758,0.0062,0.4105,12,1,2,0.013461054936371,1
"15",14,15,1,-0.3457,-0.2323,-4.0758,-0.4161,-0.265,-4.3189,0.0062,0.4599,12,1,2,0.25519220207522,1
"16",15,16,1,-0.4161,-0.265,-4.3189,-0.4679,-0.2887,-4.4987,0.0062,0.4964,12,1,2,0.188607979682727,1
"17",16,17,1,-0.4679,-0.2887,-4.4987,-0.4995,-0.3027,-4.6005,0.0062,0.5173,12,1,2,0.107507209060602,1
"18",17,18,1,-0.4995,-0.3027,-4.6005,-0.5238,-0.3132,-4.6874,0.0062,0.5349,12,1,2,0.0908424460260731,1
"19",18,19,1,-0.5238,-0.3132,-4.6874,-0.5364,-0.3191,-4.7402,0.0062,0.5454,12,1,2,0.0546022893292941,1
"20",19,20,1,-0.5364,-0.3191,-4.7402,-0.5623,-0.331,-4.8585,0.0062,0.569,12,1,2,0.121685290811996,1
"21",20,21,1,-0.5623,-0.331,-4.8585,-0.5939,-0.3492,-5.049,0.0062,0.6066,12,1,2,0.193958887396273,1
"22",21,22,1,-0.5939,-0.3492,-5.049,-0.6227,-0.37,-5.1832,0.0062,0.6335,12,1,2,0.138822620635111,1
"23",22,23,1,-0.6227,-0.37,-5.1832,-0.6464,-0.3853,-5.3012,0.0062,0.6569,12,1,2,0.121325100453286,1
"24",23,24,1,-0.6464,-0.3853,-5.3012,-0.6961,-0.4224,-5.5524,0.0062,0.7071,12,1,2,0.258742999905311,1
"25",24,25,1,-0.6961,-0.4224,-5.5524,-0.7248,-0.4449,-5.71,0.0062,0.7384,12,1,2,0.161764334758933,1
"26",25,26,1,-0.7248,-0.4449,-5.71,-0.7447,-0.4593,-5.8099,0.0062,0.7583,12,1,2,0.102875555891572,1
"27",26,27,1,-0.7447,-0.4593,-5.8099,-0.7777,-0.4808,-5.9534,0.0062,0.7871,12,1,2,0.148806921882015,1
"28",27,28,1,-0.7777,-0.4808,-5.9534,-0.8193,-0.5012,-6.1336,0.0062,0.8232,12,1,2,0.186061172736281,1
"29",28,29,1,-0.8193,-0.5012,-6.1336,-0.8826,-0.5224,-6.3684,0.0062,0.8704,12,1,2,0.244105243696238,1
"30",29,30,1,-0.8826,-0.5224,-6.3684,-0.8958,-0.5268,-6.4177,0.0062,0.8804,12,1,2,0.0512258723693406,1
"31",30,31,1,-0.8958,-0.5268,-6.4177,-0.9581,-0.5361,-6.6418,0.0062,0.9254,12,1,2,0.232784428173364,1
"32",31,32,1,-0.9581,-0.5361,-6.6418,-1.0162,-0.5388,-6.8467,0.0062,0.9667,12,1,2,0.212995093840211,1
"33",32,33,1,-1.0162,-0.5388,-6.8467,-1.0634,-0.5393,-7.0306,0.0062,1.0035,12,1,2,0.189861265138521,1
"34",33,34,1,-1.0634,-0.5393,-7.0306,-1.0747,-0.54,-7.0774,0.0062,1.0128,12,1,2,0.0481499740394532,1
"35",34,35,1,-1.0747,-0.54,-7.0774,-1.1431,-0.5251,-7.3734,0.0062,1.0717,12,1,2,0.304165366207266,1
"36",35,36,1,-1.1431,-0.5251,-7.3734,-1.1703,-0.5168,-7.5008,0.0062,1.097,12,1,2,0.13053539749815,1
"37",36,37,1,-1.1703,-0.5168,-7.5008,-1.212,-0.4992,-7.7649,0.0062,1.1489,12,1,2,0.267950480499662,1
"38",37,38,1,-1.212,-0.4992,-7.7649,-1.2427,-0.4863,-8.0171,0.0062,1.1981,12,1,2,0.254388954162714,1
"39",38,39,1,-1.2427,-0.4863,-8.0171,-1.2618,-0.4818,-8.291,0.0062,1.2513,12,1,2,0.274602021114195,1
"40",39,40,1,-1.2618,-0.4818,-8.291,-1.2747,-0.4791,-8.5679,0.0062,1.305,12,1,2,0.277213473698519,1
"41",40,41,1,-1.2747,-0.4791,-8.5679,-1.2861,-0.4744,-8.8211,0.0062,1.3541,12,1,2,0.253500078895451,1
"42",41,42,1,-1.2861,-0.4744,-8.8211,-1.3198,-0.4739,-9.0745,0.0062,1.4036,12,1,2,0.255631570820195,1
"43",42,43,1,-1.3198,-0.4739,-9.0745,-1.3362,-0.4744,-9.1945,0.0062,1.4271,12,1,2,0.12111651415063,1
"44",43,44,1,-1.3362,-0.4744,-9.1945,-1.3578,-0.467,-9.39,0.0062,1.4652,12,1,2,0.196828783464209,1
"45",44,45,1,-1.3578,-0.467,-9.39,-1.3803,-0.4674,-9.5963,0.0062,1.5054,12,1,2,0.20752373358245,1
"46",45,46,1,-1.3803,-0.4674,-9.5963,-1.3912,-0.4678,-9.6981,0.0062,1.5252,12,1,2,0.102382664548253,1
"47",46,47,1,-1.3912,-0.4678,-9.6981,-1.4179,-0.466,-9.9627,0.0062,1.5767,12,1,2,0.265949788493993,1
"48",47,48,1,-1.4179,-0.466,-9.9627,-1.4415,-0.46,-10.1889,0.0062,1.6208,12,1,2,0.227506922971588,1
"49",48,49,1,-1.4415,-0.46,-10.1889,-1.4509,-0.4567,-10.2965,0.0062,1.6417,12,1,2,0.108060214695326,1
"50",49,50,1,-1.4509,-0.4567,-10.2965,-1.4752,-0.4397,-10.5266,0.0062,1.6866,12,1,2,0.232003232736098,1
"51",50,51,1,-1.4752,-0.4397,-10.5266,-1.4895,-0.4219,-10.7194,0.0062,1.7242,12,1,2,0.194147289447986,1
"52",51,52,1,-1.4895,-0.4219,-10.7194,-1.5162,-0.4002,-11.0031,0.0062,1.7796,12,1,2,0.285778708094217,1
"53",52,53,1,-1.5162,-0.4002,-11.0031,-1.5484,-0.3924,-11.2361,0.0062,1.8251,12,1,2,0.235343748589165,1
"54",53,54,1,-1.5484,-0.3924,-11.2361,-1.5676,-0.3916,-11.3826,0.0062,1.8538,12,1,2,0.147754966075594,1
"55",54,55,1,-1.5676,-0.3916,-11.3826,-1.5744,-0.3789,-11.6022,0.0062,1.8964,12,1,2,0.220072010941873,1
"56",55,56,1,-1.5744,-0.3789,-11.6022,-1.578,-0.3753,-11.6677,0.0062,1.9091,12,1,2,0.065697564642839,1
"57",56,57,1,-1.578,-0.3753,-11.6677,-1.5841,-0.3672,-11.8506,0.0062,1.9446,12,1,2,0.183180866904816,1
"58",57,58,1,-1.5841,-0.3672,-11.8506,-1.5918,-0.3577,-12.1029,0.0062,1.9935,12,1,2,0.252596179701911,1
"59",58,59,1,-1.5918,-0.3577,-12.1029,-1.601,-0.3485,-12.3802,0.0062,2.0473,12,1,2,0.277605061193056,1
"60",59,60,1,-1.601,-0.3485,-12.3802,-1.6093,-0.3388,-12.5948,0.0062,2.0889,12,1,2,0.214979394361412,1
"61",60,61,1,-1.6093,-0.3388,-12.5948,-1.6157,-0.3281,-12.8044,0.0062,2.1296,12,1,2,0.209970497927685,1
