"","Time","Krs","sam","soil_type","loc"
"1",0.4,7.38172089121604e-06,1,"loam","Palermo, Italy"
"2",0.6,9.90154731308028e-06,1,"loam","Palermo, Italy"
"3",0.8,1.13305857038335e-05,1,"loam","Palermo, Italy"
"4",1,1.19197964712072e-05,1,"loam","Palermo, Italy"
"5",1.2,1.24654037263318e-05,1,"loam","Palermo, Italy"
"6",1.4,1.26607495225083e-05,1,"loam","Palermo, Italy"
"7",1.6,1.27921369284678e-05,1,"loam","Palermo, Italy"
"8",1.8,1.28410201934981e-05,1,"loam","Palermo, Italy"
"9",2,1.28650508114433e-05,1,"loam","Palermo, Italy"
"10",2.2,1.28828883818463e-05,1,"loam","Palermo, Italy"
"11",2.4,1.28891646438797e-05,1,"loam","Palermo, Italy"
"12",2.6,1.28926202550663e-05,1,"loam","Palermo, Italy"
"13",2.8,1.28938214766155e-05,1,"loam","Palermo, Italy"
"14",3,1.28951023312815e-05,1,"loam","Palermo, Italy"
"15",3.2,1.28955330943756e-05,1,"loam","Palermo, Italy"
"16",3.4,1.28958107052793e-05,1,"loam","Palermo, Italy"
"17",3.6,1.28959371679541e-05,1,"loam","Palermo, Italy"
"18",3.8,1.28959890228628e-05,1,"loam","Palermo, Italy"
"19",4,1.28960094715846e-05,1,"loam","Palermo, Italy"
"20",4.2,1.2896025348617e-05,1,"loam","Palermo, Italy"
"21",4.4,1.28960334801748e-05,1,"loam","Palermo, Italy"
"22",4.6,1.28960364695255e-05,1,"loam","Palermo, Italy"
"23",4.8,1.28960375022179e-05,1,"loam","Palermo, Italy"
"24",5,1.28960389501636e-05,1,"loam","Palermo, Italy"
"25",5.2,1.28960392316708e-05,1,"loam","Palermo, Italy"
"26",5.4,1.2881111806724e-05,1,"loam","Palermo, Italy"
"27",5.6,1.26440034970518e-05,1,"loam","Palermo, Italy"
"28",5.8,1.23631740940866e-05,1,"loam","Palermo, Italy"
"29",6,1.20519887053778e-05,1,"loam","Palermo, Italy"
"30",6.2,1.17251955479718e-05,1,"loam","Palermo, Italy"
"31",6.4,1.36874354341784e-05,1,"loam","Palermo, Italy"
"32",6.6,1.63746554857789e-05,1,"loam","Palermo, Italy"
"33",6.8,1.80576933262602e-05,1,"loam","Palermo, Italy"
"34",7,1.87862839042491e-05,1,"loam","Palermo, Italy"
"35",7.2,1.88267072361111e-05,1,"loam","Palermo, Italy"
"36",7.4,1.88765614247169e-05,1,"loam","Palermo, Italy"
"37",7.6,1.89742180942486e-05,1,"loam","Palermo, Italy"
"38",7.8,1.89467509524837e-05,1,"loam","Palermo, Italy"
"39",8,2.06116172842435e-05,1,"loam","Palermo, Italy"
"40",8.2,2.23489751905934e-05,1,"loam","Palermo, Italy"
"41",8.4,2.34585683795266e-05,1,"loam","Palermo, Italy"
"42",8.6,2.60723034529172e-05,1,"loam","Palermo, Italy"
"43",8.8,3.68296133246588e-05,1,"loam","Palermo, Italy"
"44",9,3.74939615693378e-05,1,"loam","Palermo, Italy"
"45",0.4,1.84635593386863e-06,2,"loam","Palermo, Italy"
"46",0.6,3.85257880976115e-06,2,"loam","Palermo, Italy"
"47",0.8,6.1456618934663e-06,2,"loam","Palermo, Italy"
"48",1,7.32546868706978e-06,2,"loam","Palermo, Italy"
"49",1.2,8.24798899752154e-06,2,"loam","Palermo, Italy"
"50",1.4,9.16817528144563e-06,2,"loam","Palermo, Italy"
"51",1.6,9.91094963627075e-06,2,"loam","Palermo, Italy"
"52",1.8,9.91094963627075e-06,2,"loam","Palermo, Italy"
"53",2,1.09452891491819e-05,2,"loam","Palermo, Italy"
"54",2.2,1.12098238396603e-05,2,"loam","Palermo, Italy"
"55",2.4,1.1563768333302e-05,2,"loam","Palermo, Italy"
"56",2.6,1.43216459861815e-05,2,"loam","Palermo, Italy"
"57",2.8,1.45176599591399e-05,2,"loam","Palermo, Italy"
"58",3,2.11160518616639e-05,2,"loam","Palermo, Italy"
"59",3.2,2.12276398787392e-05,2,"loam","Palermo, Italy"
"60",3.4,2.68371052055993e-05,2,"loam","Palermo, Italy"
"61",3.6,3.03068188363385e-05,2,"loam","Palermo, Italy"
"62",3.8,3.7363718126803e-05,2,"loam","Palermo, Italy"
"63",4,3.9689533687469e-05,2,"loam","Palermo, Italy"
"64",4.2,4.23510372375708e-05,2,"loam","Palermo, Italy"
"65",4.4,4.40047674257615e-05,2,"loam","Palermo, Italy"
"66",4.6,4.56125595832582e-05,2,"loam","Palermo, Italy"
"67",4.8,4.73855317132299e-05,2,"loam","Palermo, Italy"
"68",5,4.83560564125966e-05,2,"loam","Palermo, Italy"
"69",5.2,4.87236685224897e-05,2,"loam","Palermo, Italy"
"70",5.4,4.95176033225272e-05,2,"loam","Palermo, Italy"
"71",5.6,4.95215091031682e-05,2,"loam","Palermo, Italy"
"72",5.8,4.99934664780953e-05,2,"loam","Palermo, Italy"
"73",6,5.02277462070401e-05,2,"loam","Palermo, Italy"
"74",6.2,5.02646231701031e-05,2,"loam","Palermo, Italy"
"75",6.4,5.03810252184092e-05,2,"loam","Palermo, Italy"
"76",6.6,5.03185874986268e-05,2,"loam","Palermo, Italy"
"77",6.8,5.02560576991506e-05,2,"loam","Palermo, Italy"
"78",7,4.98645127188201e-05,2,"loam","Palermo, Italy"
"79",7.2,4.9585600002067e-05,2,"loam","Palermo, Italy"
"80",7.4,4.9172664327242e-05,2,"loam","Palermo, Italy"
"81",7.6,4.84465728989789e-05,2,"loam","Palermo, Italy"
"82",7.8,4.76259503239766e-05,2,"loam","Palermo, Italy"
"83",8,4.64607673793372e-05,2,"loam","Palermo, Italy"
"84",8.2,4.58174921235726e-05,2,"loam","Palermo, Italy"
"85",8.4,4.51485710762334e-05,2,"loam","Palermo, Italy"
"86",8.6,4.31344810306405e-05,2,"loam","Palermo, Italy"
"87",8.8,4.15431437189775e-05,2,"loam","Palermo, Italy"
"88",9,4.0609767493596e-05,2,"loam","Palermo, Italy"
"89",0.4,1.000362290135e-05,3,"loam","Palermo, Italy"
"90",0.6,1.34107439915325e-05,3,"loam","Palermo, Italy"
"91",0.8,1.53245548991272e-05,3,"loam","Palermo, Italy"
"92",1,1.61671777298811e-05,3,"loam","Palermo, Italy"
"93",1.2,1.66649207942888e-05,3,"loam","Palermo, Italy"
"94",1.4,1.69214578091137e-05,3,"loam","Palermo, Italy"
"95",1.6,1.70192803001922e-05,3,"loam","Palermo, Italy"
"96",1.8,1.70817825141144e-05,3,"loam","Palermo, Italy"
"97",2,1.97585735607195e-05,3,"loam","Palermo, Italy"
"98",2.2,2.61927901694692e-05,3,"loam","Palermo, Italy"
"99",2.4,3.21738493793772e-05,3,"loam","Palermo, Italy"
"100",2.6,4.41062404520967e-05,3,"loam","Palermo, Italy"
"101",2.8,5.41714915819329e-05,3,"loam","Palermo, Italy"
"102",3,6.23544862667868e-05,3,"loam","Palermo, Italy"
"103",3.2,7.24607569646691e-05,3,"loam","Palermo, Italy"
"104",3.4,8.39296485385744e-05,3,"loam","Palermo, Italy"
"105",3.6,0.00010010990540463,3,"loam","Palermo, Italy"
"106",3.8,0.000112302808882368,3,"loam","Palermo, Italy"
"107",4,0.000121615338540137,3,"loam","Palermo, Italy"
"108",4.2,0.000135794992399141,3,"loam","Palermo, Italy"
"109",4.4,0.000146121713455208,3,"loam","Palermo, Italy"
"110",4.6,0.000159063685934109,3,"loam","Palermo, Italy"
"111",4.8,0.000169376970154272,3,"loam","Palermo, Italy"
"112",5,0.000180277426708122,3,"loam","Palermo, Italy"
"113",5.2,0.000188796283108708,3,"loam","Palermo, Italy"
"114",5.4,0.000192846401707993,3,"loam","Palermo, Italy"
"115",5.6,0.000194965836093831,3,"loam","Palermo, Italy"
"116",5.8,0.000196077219206658,3,"loam","Palermo, Italy"
"117",6,0.000198614446391266,3,"loam","Palermo, Italy"
"118",6.2,0.00019941212299298,3,"loam","Palermo, Italy"
"119",6.4,0.000204026062848834,3,"loam","Palermo, Italy"
"120",6.6,0.000208514896467163,3,"loam","Palermo, Italy"
"121",6.8,0.00020995258266718,3,"loam","Palermo, Italy"
"122",7,0.000209319260571808,3,"loam","Palermo, Italy"
"123",7.2,0.000212019136981492,3,"loam","Palermo, Italy"
"124",7.4,0.000213616776766991,3,"loam","Palermo, Italy"
"125",7.6,0.000212305191639258,3,"loam","Palermo, Italy"
"126",7.8,0.000213624812413742,3,"loam","Palermo, Italy"
"127",8,0.000224273389797651,3,"loam","Palermo, Italy"
"128",8.2,0.000239838142270375,3,"loam","Palermo, Italy"
"129",8.4,0.000256737503122089,3,"loam","Palermo, Italy"
"130",8.6,0.000274691625875056,3,"loam","Palermo, Italy"
"131",8.8,0.000293117793488476,3,"loam","Palermo, Italy"
"132",9,0.000316269589588968,3,"loam","Palermo, Italy"
"133",0.4,4.45779713143786e-06,4,"loam","Palermo, Italy"
"134",0.6,7.39988576723968e-06,4,"loam","Palermo, Italy"
"135",0.8,9.19305607076851e-06,4,"loam","Palermo, Italy"
"136",1,9.78347603308708e-06,4,"loam","Palermo, Italy"
"137",1.2,1.04820056338448e-05,4,"loam","Palermo, Italy"
"138",1.4,1.06957627850513e-05,4,"loam","Palermo, Italy"
"139",1.6,1.09521744939105e-05,4,"loam","Palermo, Italy"
"140",1.8,1.10745022843448e-05,4,"loam","Palermo, Italy"
"141",2,1.11102565138505e-05,4,"loam","Palermo, Italy"
"142",2.2,1.11525062696819e-05,4,"loam","Palermo, Italy"
"143",2.4,1.41181686853251e-05,4,"loam","Palermo, Italy"
"144",2.6,1.66632086261973e-05,4,"loam","Palermo, Italy"
"145",2.8,1.8566606524417e-05,4,"loam","Palermo, Italy"
"146",3,2.60382194417216e-05,4,"loam","Palermo, Italy"
"147",3.2,2.889020451282e-05,4,"loam","Palermo, Italy"
"148",3.4,3.49842211557237e-05,4,"loam","Palermo, Italy"
"149",3.6,3.94346555805954e-05,4,"loam","Palermo, Italy"
"150",3.8,4.29476537180034e-05,4,"loam","Palermo, Italy"
"151",4,4.83452703114592e-05,4,"loam","Palermo, Italy"
"152",4.2,5.45031920215621e-05,4,"loam","Palermo, Italy"
"153",4.4,6.04622880414861e-05,4,"loam","Palermo, Italy"
"154",4.6,6.51242296702412e-05,4,"loam","Palermo, Italy"
"155",4.8,6.92656961938441e-05,4,"loam","Palermo, Italy"
"156",5,7.63801926462308e-05,4,"loam","Palermo, Italy"
"157",5.2,8.08093566224877e-05,4,"loam","Palermo, Italy"
"158",5.4,8.3977901316964e-05,4,"loam","Palermo, Italy"
"159",5.6,8.60603139998859e-05,4,"loam","Palermo, Italy"
"160",5.8,8.73990886989588e-05,4,"loam","Palermo, Italy"
"161",6,8.83480386451518e-05,4,"loam","Palermo, Italy"
"162",6.2,8.88176358933212e-05,4,"loam","Palermo, Italy"
"163",6.4,8.91053268198487e-05,4,"loam","Palermo, Italy"
"164",6.6,8.92766529133418e-05,4,"loam","Palermo, Italy"
"165",6.8,8.93086412993007e-05,4,"loam","Palermo, Italy"
"166",7,8.91829438047209e-05,4,"loam","Palermo, Italy"
