"","Cc","age","sam"
"1",0.0466589135418163,0.2,1
"2",0.0533235804124812,0.3,1
"3",0.0915717882725657,0.4,1
"4",0.109467472777621,0.5,1
"5",0.14274541208357,0.6,1
"6",0.162971336256447,0.7,1
"7",0.192631652933585,0.8,1
"8",0.206739653698389,0.9,1
"9",0.227528930932952,1,1
"10",0.267673562597276,1.1,1
"11",0.286613316766857,1.2,1
"12",0.302384710312376,1.3,1
"13",0.329658625879683,1.4,1
"14",0.350954619959556,1.5,1
"15",0.387497950163945,1.6,1
"16",0.405646353727797,1.7,1
"17",0.432340128518382,1.8,1
"18",0.455908073098412,1.9,1
"19",0.472774734092314,2,1
"20",0.49461035823725,2.1,1
"21",0.533096761208487,2.2,1
"22",0.554967893415113,2.3,1
"23",0.578726051871228,2.4,1
"24",0.593256679922586,2.5,1
"25",0.627849309197507,2.6,1
"26",0.639303982631282,2.7,1
"27",0.658285309567304,2.8,1
"28",0.701233162204433,2.9,1
"29",0.71886055221911,3,1
"30",0.746120998147196,3.1,1
"31",0.762130081229968,3.2,1
"32",0.803086633846161,3.3,1
"33",0.817958634917731,3.4,1
"34",0.837924088062069,3.5,1
"35",0.874441193919178,3.6,1
"36",0.900899118135022,3.7,1
"37",0.923954301626742,3.8,1
"38",0.939432379384503,3.9,1
"39",0.960231711362646,4,1
"40",0.982622126464876,4.1,1
"41",1.01245969328745,4.2,1
"42",1.03918164430009,4.3,1
"43",1.07086576142876,4.4,1
"44",1.08734155424418,4.5,1
"45",1.11630142637319,4.6,1
"46",1.1427744824276,4.7,1
"47",1.1427744824276,4.8,1
"48",1.18830349880506,4.9,1
"49",1.21479825127159,5,1
"50",1.23028970195737,5.1,1
"51",1.24476905975334,5.2,1
"52",1.28418709234163,5.3,1
"53",1.29411563108493,5.4,1
"54",1.33493935616656,5.5,1
"55",1.36131382482007,5.6,1
"56",1.38262087844874,5.7,1
"57",1.40943285906085,5.8,1
"58",1.42437138195092,5.9,1
"59",1.45553408260862,6,1
"60",1.47624500242473,6.1,1
"61",1.50006691980252,6.2,1
