"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,0.0158,0.005,-2.0986,0.0066,0.027,12,1,2,0.0999829985547541,1
"2",1,2,1,0.0158,0.005,-2.0986,0.045,0.0059,-2.3052,0.0066,0.0833,12,1,2,0.208655241966264,1
"3",2,3,1,0.045,0.0059,-2.3052,0.0948,0.0373,-2.5843,0.0066,0.1603,12,1,2,0.285241669466436,1
"4",3,4,1,0.0948,0.0373,-2.5843,0.1353,0.0622,-2.8555,0.0066,0.2347,12,1,2,0.275335613388461,1
"5",4,5,1,0.1353,0.0622,-2.8555,0.1799,0.0918,-3.1764,0.0066,0.3225,12,1,2,0.32533387465802,1
"6",5,6,1,0.1799,0.0918,-3.1764,0.2056,0.1042,-3.3577,0.0066,0.372,12,1,2,0.183531850096924,1
"7",6,7,1,0.2056,0.1042,-3.3577,0.2215,0.1181,-3.519,0.0066,0.4159,12,1,2,0.162676703925301,1
"8",7,8,1,0.2215,0.1181,-3.519,0.2367,0.1313,-3.6636,0.0066,0.4553,12,1,2,0.145994657436497,1
"9",8,9,1,0.2367,0.1313,-3.6636,0.2502,0.1386,-3.7782,0.0066,0.4866,12,1,2,0.115623094578894,1
"10",9,10,1,0.2502,0.1386,-3.7782,0.2593,0.1408,-3.8631,0.0066,0.5096,12,1,2,0.0854146357482137,1
"11",10,11,1,0.2593,0.1408,-3.8631,0.2758,0.146,-3.9817,0.0066,0.542,12,1,2,0.119855120875163,1
"12",11,12,1,0.2758,0.146,-3.9817,0.3795,0.1381,-4.3883,0.0066,0.6553,12,1,2,0.419689956992063,1
"13",12,13,1,0.3795,0.1381,-4.3883,0.3941,0.1375,-4.4465,0.0066,0.6715,12,1,2,0.0600063329991096,1
"14",13,14,1,0.3941,0.1375,-4.4465,0.4633,0.144,-4.6761,0.0066,0.7362,12,1,2,0.239889662136574,1
"15",14,15,1,0.4633,0.144,-4.6761,0.5054,0.147,-4.8188,0.0066,0.7764,12,1,2,0.148810953897891,1
"16",15,16,1,0.5054,0.147,-4.8188,0.5415,0.1561,-4.9548,0.0066,0.8145,12,1,2,0.141003616974884,1
"17",16,17,1,0.5415,0.1561,-4.9548,0.5701,0.1754,-5.1359,0.0066,0.8642,12,1,2,0.184357424586048,1
"18",17,18,1,0.5701,0.1754,-5.1359,0.603,0.1978,-5.3442,0.0066,0.9215,12,1,2,0.212068526660605,1
"19",18,19,1,0.603,0.1978,-5.3442,0.6451,0.2569,-5.6484,0.0066,1.0059,12,1,2,0.312734488024586,1
"20",19,20,1,0.6451,0.2569,-5.6484,0.6686,0.2911,-5.8253,0.0066,1.055,12,1,2,0.181701678583331,1
"21",20,21,1,0.6686,0.2911,-5.8253,0.6829,0.3247,-5.988,0.0066,1.1,12,1,2,0.166747533714895,1
"22",21,22,1,0.6829,0.3247,-5.988,0.6974,0.3733,-6.1943,0.0066,1.1573,12,1,2,0.212442698156467,1
"23",22,23,1,0.6974,0.3733,-6.1943,0.7097,0.4272,-6.4392,0.0066,1.2251,12,1,2,0.251062761077783,1
"24",23,24,1,0.7097,0.4272,-6.4392,0.7176,0.4761,-6.6321,0.0066,1.2789,12,1,2,0.199158303869059,1
"25",24,25,1,0.7176,0.4761,-6.6321,0.7183,0.5691,-7.0538,0.0066,1.3954,12,1,2,0.431833741155088,1
"26",25,26,1,0.7183,0.5691,-7.0538,0.7149,0.5943,-7.253,0.0066,1.4496,12,1,2,0.200816433590481,1
"27",26,27,1,0.7149,0.5943,-7.253,0.7128,0.6102,-7.3748,0.0066,1.4828,12,1,2,0.122851373618694,1
"28",27,28,1,0.7128,0.6102,-7.3748,0.7133,0.6338,-7.5756,0.0066,1.5374,12,1,2,0.202182714394678,1
"29",28,29,1,0.7133,0.6338,-7.5756,0.7081,0.6619,-7.8546,0.0066,1.6131,12,1,2,0.280459711901727,1
"30",29,30,1,0.7081,0.6619,-7.8546,0.697,0.6783,-8.0309,0.0066,1.661,12,1,2,0.177408737101645,1
"31",30,31,1,0.697,0.6783,-8.0309,0.6952,0.6999,-8.2368,0.0066,1.7169,12,1,2,0.207037701880599,1
"32",31,32,1,0.6952,0.6999,-8.2368,0.6958,0.7258,-8.4906,0.0066,1.7858,12,1,2,0.255118815456642,1
"33",32,33,1,0.6958,0.7258,-8.4906,0.7109,0.7609,-8.8282,0.0066,1.8775,12,1,2,0.339755470890463,1
"34",33,34,1,0.7109,0.7609,-8.8282,0.7261,0.7773,-9.0638,0.0066,1.9414,12,1,2,0.236658741651349,1
"35",34,35,1,0.7261,0.7773,-9.0638,0.7362,0.7872,-9.274,0.0066,1.9982,12,1,2,0.210675247715529,1
"36",35,36,1,0.7362,0.7872,-9.274,0.7418,0.8002,-9.3975,0.0066,2.0318,12,1,2,0.124308527462924,1
"37",36,37,1,0.7418,0.8002,-9.3975,0.7422,0.8121,-9.5133,0.0066,2.0632,12,1,2,0.116410523579269,1
"38",37,38,1,0.7422,0.8121,-9.5133,0.736,0.8341,-9.7294,0.0066,2.1219,12,1,2,0.21730543021287,1
"39",38,39,1,0.736,0.8341,-9.7294,0.733,0.8448,-9.835,0.0066,2.1506,12,1,2,0.106183096583214,1
"40",39,40,1,0.733,0.8448,-9.835,0.7318,0.8526,-9.939,0.0066,2.1787,12,1,2,0.104298993283731,1
"41",40,41,1,0.7318,0.8526,-9.939,0.7353,0.8636,-10.211,0.0066,2.2522,12,1,2,0.272244834661744,1
"42",41,42,1,0.7353,0.8636,-10.211,0.7399,0.8776,-10.5598,0.0066,2.3465,12,1,2,0.349111157083241,1
"43",42,43,1,0.7399,0.8776,-10.5598,0.7551,0.8839,-10.8865,0.0066,2.4347,12,1,2,0.32711407796058,1
"44",43,44,1,0.7551,0.8839,-10.8865,0.7738,0.8842,-11.1597,0.0066,2.5087,12,1,2,0.273839405491614,1
"45",44,45,1,0.7738,0.8842,-11.1597,0.7938,0.8831,-11.4408,0.0066,2.5848,12,1,2,0.281812739243632,1
"46",45,46,1,0.7938,0.8831,-11.4408,0.8163,0.8815,-11.7565,0.0066,2.6702,12,1,2,0.31650481828876,1
"47",46,47,1,0.8163,0.8815,-11.7565,0.8333,0.8807,-11.974,0.0066,2.7291,12,1,2,0.218164823012326,1
"48",47,48,1,0.8333,0.8807,-11.974,0.8438,0.882,-12.1025,0.0066,2.7639,12,1,2,0.128934828498741,1
"49",48,49,1,0.8438,0.882,-12.1025,0.8645,0.8847,-12.4255,0.0066,2.8513,12,1,2,0.323673879082017,1
"50",49,50,1,0.8645,0.8847,-12.4255,0.8675,0.8739,-12.6847,0.0066,2.9213,12,1,2,0.259442247908855,1
"51",50,51,1,0.8675,0.8739,-12.6847,0.8653,0.8863,-12.855,0.0066,2.9674,12,1,2,0.170765013981203,1
"52",51,52,1,0.8653,0.8863,-12.855,0.8509,0.8969,-13.1068,0.0066,3.0355,12,1,2,0.252434070600622,1
"53",52,53,1,0.8509,0.8969,-13.1068,0.8376,0.9062,-13.3354,0.0066,3.0974,12,1,2,0.229175347714365,1
"54",53,54,1,0.8376,0.9062,-13.3354,0.8289,0.9055,-13.4951,0.0066,3.1406,12,1,2,0.159938331865755,1
"55",54,55,1,0.8289,0.9055,-13.4951,0.8193,0.8994,-13.7334,0.0066,3.205,12,1,2,0.238571289135972,1
"56",55,56,1,0.8193,0.8994,-13.7334,0.8254,0.902,-14.0242,0.0066,3.2835,12,1,2,0.2908755919633,1
"57",56,57,1,0.8254,0.902,-14.0242,0.8396,0.8914,-14.3271,0.0066,3.3654,12,1,2,0.303417880158701,1
"58",57,58,1,0.8396,0.8914,-14.3271,0.8497,0.8844,-14.5236,0.0066,3.4186,12,1,2,0.196883874403162,1
"59",58,59,1,0.8497,0.8844,-14.5236,0.8504,0.8796,-14.6686,0.0066,3.4578,12,1,2,0.145081115242473,1
"60",59,60,1,0.8504,0.8796,-14.6686,0.8442,0.8554,-14.994,0.0066,3.5458,12,1,2,0.326357534002205,1
