"","id","seminal_a","seminal_a_sd","seminal_la","seminal_la_sd","seminal_lb","seminal_lb_sd","seminal_ln","seminal_ln_sd","seminal_lmax","seminal_lmax_sd","sb_a","sb_a_sd","sb_la","sb_la_sd","sb_lb","sb_lb_sd","sb_ln","sb_ln_sd","sb_lmax","sb_lmax_sd","lat_a","lat_a_sd","lat_length","lat_length_sd","lat_theta","lat_theta_sd","first_b","max_b","first_s","n_s","delay_b","delay_s","tap_a","tap_la","tap_lb","tap_ln","tap_lmax","tap_r","seminal_r","sb_r","lat_r","lat_lmax","lat_basal_r","first_b_sd","max_b_sd","first_s_sd","n_s_sd","delay_b_sd","delay_s_sd","tap_a_sd","tap_la_sd","tap_lb_sd","tap_ln_sd","tap_lmax_sd","tap_r_sd","seminal_r_sd","sb_r_sd","lat_r_sd","lat_lmax_sd","lat_basal_r_sd","ACCESSION","sample ID","NAME","ORIGIN 1","ORIGIN 2","COORDINATES","NARRATIVE","RECEIVED","SOURCE DATE","COLLECTION SITE","ELEVATION","HABITAT"
"18",18,0.056103249,0.004831247,2.53732085,2.946377981,1.22671125,1.734831687,0.873189385,0.429509604,10.08691826,1.727550232,0.07375329,NA,NA,NA,NA,NA,0.873189385,0.552470951,4.1012216,NA,0.046576289,0.015256552,0.67002636,0.574171309,1.432464771,0.480234176,6.186089147,2.5,8.003157876,0.5,0.421357125,NA,0.066078793,23.114189,0.4215402,0.410398486,34.9991555,3.888795056,3.888795056,4.114213778,0.331804597,1.135756359,0.591943985,0.620882361,0.707106781,NA,0.707106781,0.136356725,NA,0.007938995,2.090125621,0.596147868,0.013072824,2.869111928,0.318790214,0.318790214,NA,0.36789265,0.588111332,0,"PI 213735",18,"NRC 5181","Arizona","United States","34.395342, -111.763275","Seeds white. Flour type.",1954,NA,"Hopi Tribe, Arizona.",NA,NA
"19",19,0.045276273,0.005650837,4.85971765,0.801118961,2.476968535,2.348960877,2.66139592,1.086510335,6.751575767,3.077636847,NA,NA,NA,NA,NA,NA,2.66139592,0.552470951,NA,NA,0.038813589,0.009787213,0.996023095,1.005393177,1.649340708,0.508559121,6.785044123,1.5,NA,0,0.540376197,NA,0.057775169,15.340044,1.186753485,0.561748933,34.10463775,3.789404194,3.701385611,NA,0.674153384,1.867969454,0.445887053,0.221141553,1.732050808,NA,0,0.293187207,NA,0.003281687,10.34579197,0.989159907,0.486826553,7.245031426,0.805003492,0.842171326,NA,0.324018372,0.925973242,0,"PI 213738",19,"Blue Navajo","Arizona","United States","34.395342, -111.763275","Seeds white, yellow, and blue.",1954,NA,"Navajo Tribe, Arizona.",NA,NA
"20",20,0.052771195,0.010579472,5.237919133,2.708318165,1.426594183,1.186320583,0.804381212,0.491895437,8.758786658,1.461266609,NA,NA,NA,NA,NA,NA,0.804381212,0.552470951,NA,NA,0.038192952,0.009420713,0.73588763,0.760320965,1.450798629,0.54690155,4.362311631,3,NA,0,0.571898781,NA,0.058557241,15.83265935,1.8971253,0.32474523,20.230062,2.247784667,2.247784667,NA,0.710328491,0.776484751,0.631424468,1.094380923,0.816496581,NA,0,0.516550543,NA,0.006989421,2.885497902,1.223423803,0.016633236,6.708110025,0.745345558,0.745345558,NA,0.464719266,0.777696999,0.353132126,"PI 213739",20,"Yellow Navajo","Arizona","United States","34.395342, -111.763275","Seeds dent type.",1954,NA,"Navajo Tribe, Arizona.",NA,NA
"21",21,0.05261293,0.010136996,7.420666133,6.347296735,0.9599855,1.501409436,0.599656883,0.304836888,7.296671529,4.851058411,0.046027597,NA,NA,NA,NA,NA,0.599656883,0.552470951,3.2890937,NA,0.041363928,0.013713082,0.635560571,0.419194733,1.197481155,0.640714289,4.715027248,3.5,7.793439405,0.5,1.124095474,NA,0.054376338,20.6507415,1.12694015,1.548585431,28.3523455,3.150260611,3.150260611,2.726007889,5.331861269,1.088170725,5.327464844,1.259243278,2.121320344,NA,0.707106781,0.032240048,NA,0.002525028,6.011594872,1.593734044,1.644453155,5.399855583,0.599983954,0.599983954,NA,6.988118631,0.275071786,6.994336116,"PI 213741",21,"Wallapai White","Arizona","United States","34.395342, -111.763275","Seeds white and blue. Flour type.",1954,NA,"Wallapi Tribe, Arizona.",NA,NA
"22",22,0.058476206,0.010598366,3.8947699,NA,0.5271041,NA,1.500235364,0.416090425,3.619015231,1.116269954,NA,NA,NA,NA,NA,NA,1.500235364,0.552470951,NA,NA,0.042664343,0.007684903,0.866602363,0.787356023,1.429718197,0.474060695,5.248288334,6.5,NA,0,0.297947322,NA,0.051872123,6.4240037,0,0.290146733,12.2556985,1.361744278,1.361744278,NA,0.345763431,1.93434181,0.345763431,0.681854257,6.363961031,NA,0,0.063099435,NA,0.009248557,NA,NA,NA,0.779986156,0.086665128,0.086665128,NA,0,NA,0,"PI 213743",22,"De-aur-le (Cherokee)","Oklahoma","United States","34.9550817, -97.2684063","Seeds white and blue.",1954,NA,"Cherokee Tribe, Oklahoma.",NA,NA
"23",23,0.049047634,0.013208861,3.720116409,3.34915007,1.304495527,1.289917435,0.3151159,0.139440801,5.887607476,2.889031662,0.048501693,NA,2.61965766,NA,0.5158479,NA,0.3151159,0.552470951,3.4253998,NA,0.039173456,0.011647785,1.198320439,1.51943685,1.47783971,0.527928706,6.554192818,5.25,8.094174037,0.25,0.416883366,NA,0.057200179,12.570097,1.139330765,0.280240767,36.25488325,4.028320361,4.028320361,3.781520889,0.441426628,2.56685845,0.295469795,1.281767154,4.716990566,NA,0.5,0.398024474,NA,0.005604346,8.388319307,1.602256709,0.100211672,6.696314215,0.744034913,0.744034913,NA,0.365217279,1.48519761,0.355813121,"PI 213746",23,"Separation from Walter Fire","Oklahoma","United States","34.9550817, -97.2684063","Seeds white and blue. Flour type.",1954,NA,"Cheyenne Tribe, Oklahoma.",NA,NA
"24",24,0.048458263,0.008202021,4.82142086,4.202473153,0.926592668,0.758249502,1.287953046,1.221772083,10.8989741,5.973310882,0.058040444,0.002158778,1.0532152,NA,1.85973,NA,1.287953046,0.552470951,3.4927313,1.091507281,0.040835289,0.011482097,1.211760001,1.344373857,1.491360833,0.558532733,5.80293744,2,8.254326122,0.5,1.467712503,NA,0.055801778,15.61079425,0.72769047,0.351441264,40.0363835,4.448487056,4.448487056,4.690744833,0.716101703,2.96360325,0.565496253,1.384705703,0.816496581,0.23938052,0.577350269,0.458989181,NA,0.001983218,7.357844658,0.33733048,0.246999254,3.99175572,0.443528413,0.443528413,0.042063504,0.27859605,0.718525133,0.086133929,"PI 213747",24,"Walter Fire","Oklahoma","United States","34.9550817, -97.2684063","Seeds white. Flour type.",1954,NA,"Cheyenne Tribe, Oklahoma.",NA,NA
"25",25,0.091130609,0.150072857,5.316533762,2.49344935,1.624690178,1.278379383,1.363404322,1.055232493,8.094118367,3.014024626,0.068138258,0.011081963,6.4731155,NA,2.7079885,NA,1.363404322,0.552470951,5.6080163,5.053109085,0.036097781,0.009039868,1.080070366,1.062763691,1.379079281,0.440364488,6.764478001,3,6.916583499,0.5,0.146154369,1.621641553,0.052180371,16.41597425,0.257630502,0.212196254,38.1229495,4.235883278,4.619296833,4.406754,0.462072179,2.56150489,0.457172055,1.388181687,4.760952286,NA,1,0.122913542,NA,0.003365531,10.45773802,0.182964156,0.043069355,6.562775161,0.72919724,0.300580957,NA,0.1530864,0.536028462,0.120555555,"PI 213748",25,"Concho Brown","Oklahoma","United States","34.9550817, -97.2684063","Seeds red. Flour type.",1954,NA,"Cheyenne Tribe, Oklahoma.",NA,NA
"26",26,0.05928916,0.015782982,4.491561097,4.294670253,2.148507158,1.227393438,1.312869357,0.543544755,7.405448937,4.225056717,0.061651938,NA,NA,NA,NA,NA,1.312869357,0.552470951,4.5813446,NA,0.039230868,0.012840413,0.815207794,0.962871826,1.313181364,0.570220012,5.306210497,6.75,7.207605815,0.25,0.572406743,NA,0.053955719,9.62761925,0.86611475,0.452522993,30.44899975,3.383222194,3.383222194,2.555991667,0.535263071,1.882426835,0.29640935,1.729942163,5.678908346,NA,0.5,0.476207789,NA,0.002921527,8.535219161,0.782658921,0.174094491,5.649270601,0.627696733,0.627696733,NA,0.346014414,0.810118685,0.346716974,"PI 213749",26,"Pampa","Oklahoma","United States","34.9550817, -97.2684063","Seeds blue.",1954,NA,"Cheyenne Tribe, Oklahoma.",NA,NA
"27",27,0.042670352,0.003228708,2.66325405,1.392297566,0.758302825,0.0914795,1.534971545,1.32922919,5.030124325,2.434923049,NA,NA,NA,NA,NA,NA,1.534971545,0.552470951,NA,NA,0.047217103,0.011189763,0.713372943,0.51458489,1.421783727,0.557418951,5.344868374,2,NA,0,0.86933558,NA,0.05865548,13.3245644,0.511646575,0.280081592,17.060268,1.895585333,2.170706889,NA,0.469327153,1.39483647,0.168881162,NA,2.828427125,NA,0,NA,NA,0.012042226,3.543868998,0.257345114,0.008820957,3.501725717,0.389080635,NA,NA,0.263831477,0.067883255,0.161063318,"PI 213750",27,"Stilwell","Oklahoma","United States","34.9550817, -97.2684063","Seeds white and blue.",1954,NA,"Five Tribes, Oklahoma.",NA,NA
