"","Cc","age","sam"
"1",0.0351030656841052,0.2,1
"2",0.0695815084952642,0.3,1
"3",0.106844081605503,0.4,1
"4",0.126679747895466,0.5,1
"5",0.16013981411382,0.6,1
"6",0.184485892425503,0.7,1
"7",0.197007472937894,0.8,1
"8",0.235878918557574,0.9,1
"9",0.261668453847572,1,1
"10",0.284077604807484,1.1,1
"11",0.318083881504841,1.2,1
"12",0.345574564778148,1.3,1
"13",0.355107007962462,1.4,1
"14",0.383868192700602,1.5,1
"15",0.401435263794186,1.6,1
"16",0.449783844334309,1.7,1
"17",0.469892023614527,1.8,1
"18",0.500000160402494,1.9,1
"19",0.534787389872278,2,1
"20",0.556936799019129,2.1,1
"21",0.572256873778767,2.2,1
"22",0.60469706339626,2.3,1
"23",0.639360980871374,2.4,1
"24",0.654061220843636,2.5,1
"25",0.693838319169658,2.6,1
"26",0.704942058086966,2.7,1
"27",0.739722960703381,2.8,1
"28",0.770296541064727,2.9,1
"29",0.795668468745574,3,1
"30",0.812992443297301,3.1,1
"31",0.83715044487138,3.2,1
"32",0.876112842308513,3.3,1
"33",0.903905386200119,3.4,1
"34",0.921517604948867,3.5,1
"35",0.954973957750707,3.6,1
"36",0.980570031874168,3.7,1
"37",0.993638301892319,3.8,1
"38",1.07670775067124,3.9,1
"39",1.127690568224,4,1
"40",1.18611632238164,4.1,1
"41",1.23029612677603,4.2,1
"42",1.30177320611222,4.3,1
"43",1.39348016256795,4.4,1
"44",1.46843439569954,4.5,1
"45",1.53588883052712,4.6,1
"46",1.58282911137606,4.7,1
"47",1.65264835617426,4.8,1
"48",1.71379776516697,4.9,1
"49",1.78325863292452,5,1
"50",1.86739295385622,5.1,1
"51",2.00707840696395,5.2,1
"52",2.05753453090352,5.3,1
"53",2.0691971381106,5.4,1
"54",2.14732426560435,5.5,1
"55",2.2577999381607,5.6,1
"56",2.32680657331015,5.7,1
"57",2.42375051187587,5.8,1
"58",2.4999740587985,5.9,1
"59",2.57298299732291,6,1
"60",2.81664639214778,6.1,1
"61",2.90763452866556,6.2,1
"62",3.01616305434892,6.3,1
"63",3.13090285218467,6.4,1
"64",3.19163380537317,6.5,1
"65",3.37215846107047,6.6,1
"66",3.48970543916186,6.7,1
"67",3.54659046563587,6.8,1
"68",3.67707271480762,6.9,1
"69",3.74896754672813,7,1
