"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","time","age","type","organ","length","K_type"
"1",0,1,1,0,0,-2,-0.0148,-0.011,-2.0983,0.0072,0.0279,12,1,2,0.100014648927045,1
"2",1,2,1,-0.0148,-0.011,-2.0983,-0.0545,-0.0405,-2.3545,0.0072,0.1007,12,1,2,0.260930603801087,1
"3",2,3,1,-0.0545,-0.0405,-2.3545,-0.0795,-0.0592,-2.5164,0.0072,0.1467,12,1,2,0.164882685567649,1
"4",3,4,1,-0.0795,-0.0592,-2.5164,-0.089,-0.0662,-2.5832,0.0072,0.1656,12,1,2,0.0678342833676308,1
"5",4,5,1,-0.089,-0.0662,-2.5832,-0.1522,-0.1114,-2.9562,0.0072,0.2719,12,1,2,0.38100692907085,1
"6",5,6,1,-0.1522,-0.1114,-2.9562,-0.2342,-0.1771,-3.334,0.0072,0.3812,12,1,2,0.392139426734931,1
"7",6,7,1,-0.2342,-0.1771,-3.334,-0.3282,-0.2329,-3.8219,0.0072,0.5207,12,1,2,0.499996049984397,1
"8",7,8,1,-0.3282,-0.2329,-3.8219,-0.3378,-0.2386,-3.8714,0.0072,0.5349,12,1,2,0.0507434724866165,1
"9",8,9,1,-0.3378,-0.2386,-3.8714,-0.3971,-0.2508,-4.1565,0.0072,0.6161,12,1,2,0.291457269595391,1
"10",9,10,1,-0.3971,-0.2508,-4.1565,-0.468,-0.2519,-4.5264,0.0072,0.7212,12,1,2,0.376635141748615,1
"11",10,11,1,-0.468,-0.2519,-4.5264,-0.5677,-0.2363,-4.9476,0.0072,0.842,12,1,2,0.433119948743995,1
"12",11,12,1,-0.5677,-0.2363,-4.9476,-0.6331,-0.2342,-5.1841,0.0072,0.9104,12,1,2,0.245385044369048,1
"13",12,13,1,-0.6331,-0.2342,-5.1841,-0.7535,-0.2367,-5.6648,0.0072,1.0487,12,1,2,0.495555143248458,1
"14",13,14,1,-0.7535,-0.2367,-5.6648,-0.7623,-0.2371,-5.6999,0.0072,1.0587,12,1,2,0.036188534095761,1
"15",14,15,1,-0.7623,-0.2371,-5.6999,-0.9162,-0.3482,-6.094,0.0072,1.1808,12,1,2,0.437427971213547,1
"16",15,16,1,-0.9162,-0.3482,-6.094,-1.0276,-0.4159,-6.3751,0.0072,1.2672,12,1,2,0.309855546989238,1
"17",16,17,1,-1.0276,-0.4159,-6.3751,-1.1329,-0.4973,-6.6694,0.0072,1.3573,12,1,2,0.322996191928017,1
"18",17,18,1,-1.1329,-0.4973,-6.6694,-1.2701,-0.567,-7.0108,0.0072,1.4617,12,1,2,0.374480827279581,1
"19",18,19,1,-1.2701,-0.567,-7.0108,-1.346,-0.6055,-7.1997,0.0072,1.5195,12,1,2,0.207186558444316,1
"20",19,20,1,-1.346,-0.6055,-7.1997,-1.346,-0.6055,-7.1997,0.0072,1.5195,12,1,2,0,1
"21",20,21,1,-1.346,-0.6055,-7.1997,-1.5039,-0.6805,-7.5908,0.0072,1.639,12,1,2,0.428388398535721,1
"22",21,22,1,-1.5039,-0.6805,-7.5908,-1.5608,-0.7085,-7.7256,0.0072,1.6806,12,1,2,0.148971977230619,1
"23",22,23,1,-1.5608,-0.7085,-7.7256,-1.7227,-0.7906,-8.1401,0.0072,1.8068,12,1,2,0.45250665188481,1
"24",23,24,1,-1.7227,-0.7906,-8.1401,-1.8535,-0.8717,-8.4677,0.0072,1.9077,12,1,2,0.361949734079195,1
"25",24,25,1,-1.8535,-0.8717,-8.4677,-1.9334,-0.9201,-8.6641,0.0072,1.9684,12,1,2,0.217484551175479,1
"26",25,26,1,-1.9334,-0.9201,-8.6641,-2.0477,-1.0086,-9.0057,0.0072,2.0718,12,1,2,0.37092762097207,1
"27",26,27,1,-2.0477,-1.0086,-9.0057,-2.1572,-1.0696,-9.3293,0.0072,2.1686,12,1,2,0.347027679011344,1
"28",27,28,1,-2.1572,-1.0696,-9.3293,-2.3161,-1.1368,-9.7986,0.0072,2.3081,12,1,2,0.50000753994315,1
"29",28,29,1,-2.3161,-1.1368,-9.7986,-2.3174,-1.1373,-9.8024,0.0072,2.3092,12,1,2,0.00404722126896965,1
"30",29,30,1,-2.3174,-1.1373,-9.8024,-2.392,-1.1636,-10.2961,0.0072,2.4487,12,1,2,0.499996539988027,1
"31",30,31,1,-2.392,-1.1636,-10.2961,-2.3935,-1.1641,-10.3058,0.0072,2.4514,12,1,2,0.00982802116399886,1
"32",31,32,1,-2.3935,-1.1641,-10.3058,-2.4315,-1.1821,-10.5718,0.0072,2.5265,12,1,2,0.269302803550204,1
"33",32,33,1,-2.4315,-1.1821,-10.5718,-2.4988,-1.2358,-10.987,0.0072,2.6448,12,1,2,0.424033041165427,1
"34",33,34,1,-2.4988,-1.2358,-10.987,-2.545,-1.2695,-11.2623,0.0072,2.7232,12,1,2,0.281176492616292,1
"35",34,35,1,-2.545,-1.2695,-11.2623,-2.5813,-1.2868,-11.5408,0.0072,2.8017,12,1,2,0.281388041679103,1
"36",35,36,1,-2.5813,-1.2868,-11.5408,-2.621,-1.3045,-11.861,0.0072,2.8919,12,1,2,0.323136844076933,1
"37",36,37,1,-2.621,-1.3045,-11.861,-2.6433,-1.3288,-12.1112,0.0072,2.9622,12,1,2,0.252364458670392,1
"38",37,38,1,-2.6433,-1.3288,-12.1112,-2.6708,-1.3706,-12.5465,0.0072,3.0845,12,1,2,0.438166155698954,1
"39",38,39,1,-2.6708,-1.3706,-12.5465,-2.6798,-1.3791,-12.6688,0.0072,3.1187,12,1,2,0.12292493644497,1
"40",39,40,1,-2.6798,-1.3791,-12.6688,-2.6863,-1.3856,-12.7978,0.0072,3.1548,12,1,2,0.129327104661012,1
"41",40,41,1,-2.6863,-1.3856,-12.7978,-2.6936,-1.3831,-13.0061,0.0072,3.213,12,1,2,0.208442869870859,1
"42",0,42,2,0,0,-2,0.0273,0.0612,-2.0743,0.0052,3.2267,8.8058,4,2,0.100056084272772,10
"43",41,43,1,-2.6936,-1.3831,-13.0061,-2.702,-1.3821,-13.213,0.0072,3.2707,12,1,2,0.207072861572925,1
"44",43,44,1,-2.702,-1.3821,-13.213,-2.7073,-1.3769,-13.4343,0.0072,3.3325,12,1,2,0.22142452438698,1
"45",42,45,2,0.0273,0.0612,-2.0743,0.1616,0.3484,-2.4609,0.0052,3.3888,8.8058,4,2,0.499979889595572,10
"46",44,46,1,-2.7073,-1.3769,-13.4343,-2.7081,-1.3709,-13.7451,0.0072,3.4192,12,1,2,0.310858939070441,1
"47",45,47,2,0.1616,0.3484,-2.4609,0.3046,0.643,-2.8387,0.0052,3.551,8.8058,4,2,0.499970999158951,10
"48",46,48,1,-2.7081,-1.3709,-13.7451,-2.6973,-1.3395,-14.244,0.0072,3.5587,12,1,2,0.500003809985483,1
"49",48,49,1,-2.6973,-1.3395,-14.244,-2.6973,-1.3394,-14.2457,0.0072,3.5591,12,1,2,0.00170293863659223,1
"50",47,50,2,0.3046,0.643,-2.8387,0.3186,0.6719,-2.8753,0.0052,3.5668,8.8058,4,2,0.0486905534986,10
"51",49,51,1,-2.6973,-1.3394,-14.2457,-2.6875,-1.3146,-14.745,0.0072,3.6986,12,1,2,0.500011569866138,1
"52",51,52,1,-2.6875,-1.3146,-14.745,-2.6874,-1.3144,-14.7498,0.0072,3.6999,12,1,2,0.00480520551069483,1
"53",0,53,3,0,0,-2,0.0589,0.0288,-2.0755,0.0078,3.7251,8.3058,4,2,0.0999944998487416,12
"54",50,54,2,0.3186,0.6719,-2.8753,0.4732,0.9515,-3.2598,0.0052,3.7289,8.8058,4,2,0.499917563204174,10
"55",52,55,1,-2.6874,-1.3144,-14.7498,-2.6853,-1.3025,-14.938,0.0072,3.7525,12,1,2,0.18858753935507,1
"56",55,56,1,-2.6853,-1.3025,-14.938,-2.6843,-1.294,-15.0682,0.0072,3.7889,12,1,2,0.13048099478468,1
"57",56,57,1,-2.6843,-1.294,-15.0682,-2.6869,-1.2788,-15.2464,0.0072,3.8388,12,1,2,0.178865983350664,1
"58",53,58,3,0.0589,0.0288,-2.0755,0.348,0.1644,-2.4602,0.0078,3.8793,8.3058,4,2,0.499960258420607,12
"59",54,59,2,0.4732,0.9515,-3.2598,0.6465,1.1946,-3.6609,0.0052,3.8911,8.8058,4,2,0.500011709862879,10
"60",57,60,1,-2.6869,-1.2788,-15.2464,-2.658,-1.252,-15.7449,0.0072,3.9783,12,1,2,0.500055696897855,1
"61",58,61,3,0.348,0.1644,-2.4602,0.5609,0.2588,-2.7431,0.0078,3.9924,8.3058,4,2,0.366428956279386,12
"62",60,62,1,-2.658,-1.252,-15.7449,-2.6551,-1.2488,-15.813,0.0072,3.9973,12,1,2,0.0682367935940733,1
"63",61,63,3,0.5609,0.2588,-2.7431,0.625,0.287,-2.8279,0.0078,4.0263,8.3058,4,2,0.109977679553626,12
"64",59,64,2,0.6465,1.1946,-3.6609,0.8134,1.44,-4.0634,0.0052,4.0532,8.8058,4,2,0.500083013108824,10
"65",63,65,3,0.625,0.287,-2.8279,0.7154,0.3264,-2.9522,0.0078,4.0752,8.3058,4,2,0.158666348038896,12
"66",62,66,1,-2.6551,-1.2488,-15.813,-2.6419,-1.2059,-16.3018,0.0072,4.1342,12,1,2,0.490856486154558,1
"67",64,67,2,0.8134,1.44,-4.0634,0.9351,1.6113,-4.3385,0.0052,4.1655,8.8058,4,2,0.346171330413135,10
"68",67,68,2,0.9351,1.6113,-4.3385,0.9351,1.6113,-4.3385,0.0052,4.1655,8.8058,4,2,0,10
"69",66,69,1,-2.6419,-1.2059,-16.3018,-2.6396,-1.1924,-16.4503,0.0072,4.1758,12,1,2,0.149130110976957,1
"70",0,70,4,0,0,-2,0.0527,-0.044,-2.0727,0.0055,4.2216,7.8058,4,2,0.0999928997479323,10
"71",69,71,1,-2.6396,-1.1924,-16.4503,-2.6423,-1.1736,-16.6249,0.0072,4.2248,12,1,2,0.175629980356432,1
"72",65,72,3,0.7154,0.3264,-2.9522,1.004,0.3812,-3.3567,0.0078,4.2295,8.3058,4,2,0.499913242473132,12
"73",70,73,4,0.0527,-0.044,-2.0727,0.0931,-0.078,-2.1318,0.0055,4.2432,7.8058,4,2,0.0792525709362163,10
"74",73,74,4,0.0931,-0.078,-2.1318,0.1964,-0.1665,-2.2813,0.0055,4.2985,7.8058,4,2,0.202122215503393,10
"75",74,75,4,0.1964,-0.1665,-2.2813,0.1964,-0.1665,-2.2813,0.0055,4.2985,7.8058,4,2,0,10
"76",72,76,3,1.004,0.3812,-3.3567,1.1607,0.4084,-3.5865,0.0078,4.3157,8.3058,4,2,0.279468728125349,12
"77",68,77,2,0.9351,1.6113,-4.3385,1.1061,1.8393,-4.7493,0.0052,4.3276,8.8058,4,2,0.499981639662898,10
"78",71,78,1,-2.6423,-1.1736,-16.6249,-2.6234,-1.1507,-17.124,0.0072,4.3643,12,1,2,0.499982429691283,1
"79",75,79,4,0.1964,-0.1665,-2.2813,0.3961,-0.3394,-2.554,0.0055,4.4022,7.8058,4,2,0.379657464038309,10
"80",78,80,1,-2.6234,-1.1507,-17.124,-2.6193,-1.1468,-17.3107,0.0072,4.4164,12,1,2,0.186785732859875,1
"81",76,81,3,1.1607,0.4084,-3.5865,1.3442,0.4471,-3.8955,0.0078,4.4272,8.3058,4,2,0.361456691734985,12
"82",80,82,1,-2.6193,-1.1468,-17.3107,-2.6153,-1.1432,-17.4874,0.0072,4.4657,12,1,2,0.176781927809378,1
"83",77,83,2,1.1061,1.8393,-4.7493,1.2379,2.0722,-5.1717,0.0052,4.4898,8.8058,4,2,0.500035408746221,10
"84",82,84,1,-2.6153,-1.1432,-17.4874,-2.6096,-1.1449,-17.6881,0.0072,4.5217,12,1,2,0.200788122158655,1
"85",79,85,4,0.3961,-0.3394,-2.554,0.6857,-0.5367,-2.9107,0.0055,4.5389,7.8058,4,2,0.50003033907954,10
"86",81,86,3,1.3442,0.4471,-3.8955,1.6008,0.4936,-4.3221,0.0078,4.5814,8.3058,4,2,0.499993369956042,12
"87",85,87,4,0.6857,-0.5367,-2.9107,0.8179,-0.6379,-3.0798,0.0055,4.6037,7.8058,4,2,0.237303792637202,10
"88",84,88,1,-2.6096,-1.1449,-17.6881,-2.6022,-1.152,-18.1142,0.0072,4.6406,12,1,2,0.426223392131405,1
"89",83,89,2,1.2379,2.0722,-5.1717,1.347,2.2746,-5.6157,0.0052,4.6519,8.8058,4,2,0.500004569979115,10
"90",86,90,3,1.6008,0.4936,-4.3221,1.724,0.5089,-4.5712,0.0078,4.6673,8.3058,4,2,0.278322007753609,12
"91",89,91,2,1.347,2.2746,-5.6157,1.3576,2.2943,-5.659,0.0052,4.6678,8.8058,4,2,0.0487374599256049,10
