"","Time","Krs","sam","soil_type","loc"
"1",0.4,8.31047101806412e-06,1,"loam","Palermo, Italy"
"2",0.6,1.02816652300753e-05,1,"loam","Palermo, Italy"
"3",0.8,1.10247037625709e-05,1,"loam","Palermo, Italy"
"4",1,1.16603495837356e-05,1,"loam","Palermo, Italy"
"5",1.2,1.18776946711241e-05,1,"loam","Palermo, Italy"
"6",1.4,1.19450758748412e-05,1,"loam","Palermo, Italy"
"7",1.6,1.19890933876064e-05,1,"loam","Palermo, Italy"
"8",1.8,1.20159817000395e-05,1,"loam","Palermo, Italy"
"9",2,1.20247796511105e-05,1,"loam","Palermo, Italy"
"10",2.2,1.20269667090522e-05,1,"loam","Palermo, Italy"
"11",2.4,1.20287282744145e-05,1,"loam","Palermo, Italy"
"12",2.6,1.20292636342269e-05,1,"loam","Palermo, Italy"
"13",2.8,1.20294648381583e-05,1,"loam","Palermo, Italy"
"14",3,1.20295751795148e-05,1,"loam","Palermo, Italy"
"15",3.2,1.20296123343885e-05,1,"loam","Palermo, Italy"
"16",3.4,1.20296383501375e-05,1,"loam","Palermo, Italy"
"17",3.6,1.20296460009121e-05,1,"loam","Palermo, Italy"
"18",3.8,1.2029648806006e-05,1,"loam","Palermo, Italy"
"19",4,1.52514338676354e-05,1,"loam","Palermo, Italy"
"20",4.2,1.70915227987485e-05,1,"loam","Palermo, Italy"
"21",4.4,1.7502862816776e-05,1,"loam","Palermo, Italy"
"22",4.6,1.75715113427844e-05,1,"loam","Palermo, Italy"
"23",4.8,1.75843777404685e-05,1,"loam","Palermo, Italy"
"24",5,1.75880881668411e-05,1,"loam","Palermo, Italy"
"25",5.2,1.75976860790286e-05,1,"loam","Palermo, Italy"
"26",5.4,1.7572092399488e-05,1,"loam","Palermo, Italy"
"27",5.6,1.79209669129773e-05,1,"loam","Palermo, Italy"
"28",5.8,1.76993475791609e-05,1,"loam","Palermo, Italy"
"29",6,1.917640025374e-05,1,"loam","Palermo, Italy"
"30",6.2,2.00982718665678e-05,1,"loam","Palermo, Italy"
"31",6.4,1.99103341210659e-05,1,"loam","Palermo, Italy"
"32",6.6,1.97449552143496e-05,1,"loam","Palermo, Italy"
"33",6.8,1.95209541432845e-05,1,"loam","Palermo, Italy"
"34",7,1.94192358637334e-05,1,"loam","Palermo, Italy"
"35",7.2,1.92309184690955e-05,1,"loam","Palermo, Italy"
"36",7.4,1.92654619438925e-05,1,"loam","Palermo, Italy"
"37",7.6,1.92950520731993e-05,1,"loam","Palermo, Italy"
"38",7.8,2.03215269014664e-05,1,"loam","Palermo, Italy"
"39",8,2.10343974332829e-05,1,"loam","Palermo, Italy"
"40",8.2,2.10391962457459e-05,1,"loam","Palermo, Italy"
"41",8.4,2.12542294774415e-05,1,"loam","Palermo, Italy"
"42",8.6,2.27671266017395e-05,1,"loam","Palermo, Italy"
"43",8.8,3.14919295068954e-05,1,"loam","Palermo, Italy"
"44",9,3.42706397074756e-05,1,"loam","Palermo, Italy"
"45",0.4,2.35777760216105e-06,2,"loam","Palermo, Italy"
